feature,importance,abs_importance
num__Carcinoma nodule,0.17777858803474988,0.17777858803474988
num__VitE,0.09908179522754301,0.09908179522754301
num__Iron,0.08090112873098625,0.08090112873098625
num__CA50,0.0750005195292703,0.0750005195292703
num__Lymphocyte absolute,0.06906007286169592,0.06906007286169592
num__N stage,0.0647353121857222,0.0647353121857222
num__MCV,0.0630757235042514,0.0630757235042514
num__Tumor volume,0.062261137063508595,0.062261137063508595
num__RBP,0.056622336856896736,0.056622336856896736
num__CEA,0.05455276474984367,0.05455276474984367
num__NSE,0.048654817687147155,0.048654817687147155
num__Treg cells%,0.04635003653151057,0.04635003653151057
num__Hematocrit,0.04478397205630362,0.04478397205630362
num__T stage,0.036079731283763815,0.036079731283763815
num__IgG,0.02106206369680676,0.02106206369680676
