feature,importance,abs_importance
num__LDH,0.008557111953850994,0.008557111953850994
num__IL17,0.007579986112594683,0.007579986112594683
num__PDW,0.007568635829505277,0.007568635829505277
num__IL4,0.007264181177224549,0.007264181177224549
num__IgG,0.00651305950218981,0.00651305950218981
num__IFN alpha,0.006397219848306701,0.006397219848306701
num__Albumin,0.006272032902467561,0.006272032902467561
cat__Sex_Male,0.006102112487981937,0.006102112487981937
cat__MLH1_0,0.005835714667236291,0.005835714667236291
num__CA50,0.0057358989424205805,0.0057358989424205805
num__NRAS mutant,0.0053433126802690635,0.0053433126802690635
cat__MSI-H_0,0.005223800875974671,0.005223800875974671
num__IgA,0.005036855036854892,0.005036855036854892
num__CA199,0.005026506249332263,0.005026506249332263
cat__Sex_Female,0.004991787736352837,0.004991787736352837
num__CD3 count,0.004864931631235881,0.004864931631235881
num__T stage,0.004861593312680168,0.004861593312680168
num__Tumor size,0.004832883773101038,0.004832883773101038
num__CD4+ memory T cell%,0.0048098493750666545,0.0048098493750666545
num__Lymphocyte%,-0.004411587971370689,0.004411587971370689
cat__Diabetes_1,0.004224642132250734,0.004224642132250734
num__MPV,0.0041805763273153555,0.0041805763273153555
num__Carcinoma nodule,0.004163884734536804,0.004163884734536804
num__CD8+ naive T cell%,0.004134173699390997,0.004134173699390997
num__SCCA,0.0039599134707829385,0.0039599134707829385
num__CD4 T cells,0.0038794599935903173,0.0038794599935903173
num__IL8,0.0038323897019548305,0.0038323897019548305
num__mAST,0.003599041234910683,0.003599041234910683
num__AST,0.0035930322615103983,0.0035930322615103983
cat__MSI-H_1,0.0035306057045186414,0.0035306057045186414
cat__MSH6_1,0.0035262658903962075,0.0035262658903962075
num__Reticulocyte%,0.0034401372716589052,0.0034401372716589052
cat__MSH6_0,0.0033376508919985893,0.0033376508919985893
num__CA242,0.0031096437346436303,0.0031096437346436303
num__CD4+ naive T cell%,0.003078931203931101,0.003078931203931101
num__TNF alpha,0.0030488863369297126,0.0030488863369297126
num__CEA,0.003039205213118179,0.003039205213118179
num__IL2,0.002959085567781128,0.002959085567781128
cat__Diabetes_0,0.0029330466830466027,0.0029330466830466027
num__CD29+ helper T cells,0.002871955453477082,0.002871955453477082
num__Triglycerides,0.0028485872235870847,0.0028485872235870847
num__Monocyte absolute,0.0028322294626641487,0.0028322294626641487
num__BMI,0.0027778148702060634,0.0027778148702060634
cat__Hypertension_1,0.002758118790727404,0.002758118790727404
num__CRP,0.0027567834633051014,0.0027567834633051014
cat__PMS2_1,0.0027200619591922883,0.0027200619591922883
num__NK count,0.0027006997115691543,0.0027006997115691543
num__Vascular invasion,-0.0026663150304455873,0.0026663150304455873
cat__PMS2_0,0.0026663150304453652,0.0026663150304453652
num__VitC,0.0026199124025209964,0.0026199124025209964
num__CD4 count,0.0024373063775236957,0.0024373063775236957
num__IL12 p70,0.002394575900010576,0.002394575900010576
num__CD8+ memory T cell%,0.0023738783249651952,0.0023738783249651952
num__VitB6,0.0023328170067299257,0.0023328170067299257
num__MCH,-0.002273728768294081,0.002273728768294081
num__Regulatory T cells,-0.0022713919453051013,0.0022713919453051013
num__Colonic obstruction,-0.002214640529858025,0.002214640529858025
num__CD19 count,0.0021799220168784218,0.0021799220168784218
num__ALP,0.0020704251682511555,0.0020704251682511555
cat__Hypertension_0,0.0018874853113982736,0.0018874853113982736
num__VitB1,0.001838078196773707,0.001838078196773707
num__NSE,-0.0016758359149664393,0.0016758359149664393
num__Iron,-0.0016454572161094915,0.0016454572161094915
num__Prealbumin,-0.0016377790834313898,0.0016377790834313898
num__IgM,0.0016174153402413016,0.0016174153402413016
num__CD8+CD25+/CD8+%,0.0015155966242921925,0.0015155966242921925
num__Ki67,0.0014999065270803302,0.0014999065270803302
num__Total T lymphocytes,-0.0014835487661575054,0.0014835487661575054
num__Total bile acids,-0.0014835487661575054,0.0014835487661575054
num__GLDH,-0.0014488302531781682,0.0014488302531781682
num__Globulin,0.0013793932272192166,0.0013793932272192166
num__CD8 CD28+,-0.0013049487234270906,0.0013049487234270906
num__Total B lymphocytes,-0.0012662242281808456,0.0012662242281808456
num__Differentiation grade,0.0011674099989316233,0.0011674099989316233
num__Plateletcrit,-0.0011593980343981402,0.0011593980343981402
num__IL10,-0.0010782768934943787,0.0010782768934943787
num__Treg cells%,-0.001034544920414593,0.001034544920414593
num__N stage,-0.001034544920414593,0.001034544920414593
num__IFN gamma,-0.0010171856639249021,0.0010171856639249021
num__EGFR,0.0009343953637430902,0.0009343953637430902
cat__Hyperlipidemia_0,0.0008669613289177369,0.0008669613289177369
num__A G ratio,0.0007941859844032729,0.0007941859844032729
num__Signet-ring cell carcinoma,0.0007467818609121935,0.0007467818609121935
num__CYFRA21 1,-0.000717404657622167,0.000717404657622167
cat__MLH1_1,-0.0007003792329880243,0.0007003792329880243
num__IL1 beta,-0.0006609870740306278,0.0006609870740306278
num__MCHC,-0.0005935530392052968,0.0005935530392052968
num__RBC,-0.0005935530392052968,0.0005935530392052968
num__Platelet count,-0.0005574991988036126,0.0005574991988036126
num__VitB2,-0.0005574991988036126,0.0005574991988036126
num__Lymphocyte absolute,0.0005541608802477449,0.0005541608802477449
cat__MSH2_0,0.0005347986326246113,0.0005347986326246113
cat__Hyperlipidemia_1,0.0004750427304774041,0.0004750427304774041
num__IgE,-0.0004189589787416792,0.0004189589787416792
num__BRAF mutant,-0.0003982614036962762,0.0003982614036962762
num__VitE,0.0003598707403054013,0.0003598707403054013
num__RDW CV,0.00030779297083631806,0.00030779297083631806
num__Neutrophil%,0.00021865986539888472,0.00021865986539888472
cat__MSH2_1,0.00018227219314165266,0.00018227219314165266
num__Family history,0.00016791742335211523,0.00016791742335211523
num__Perineural invasion,-8.713011430411255e-05,8.713011430411255e-05
num__Age,6.743403482525334e-05,6.743403482525334e-05
num__Monocyte%,3.905832710171531e-05,3.905832710171531e-05
num__NK cells,0.0,0.0
num__ALT,0.0,0.0
num__CA724,0.0,0.0
num__CA125,0.0,0.0
num__Coronary artery disease,0.0,0.0
num__MCV,0.0,0.0
num__WBC,0.0,0.0
num__IL6,0.0,0.0
num__Total cholesterol,0.0,0.0
num__CA153,0.0,0.0
num__Early activated T cells,0.0,0.0
num__VitA,0.0,0.0
num__Tumor volume,0.0,0.0
num__KRAS mutant,0.0,0.0
num__Total protein,0.0,0.0
