feature,importance,abs_importance
num__Total T lymphocytes,0.7090204968712692,0.7090204968712692
cat__Hyperlipidemia_1,0.6784712664068626,0.6784712664068626
num__Hematocrit,0.6364736670557863,0.6364736670557863
num__NK cells,0.630190380094364,0.630190380094364
num__Neutrophil absolute,0.6215781625665668,0.6215781625665668
num__Total B lymphocytes,0.6157049101339315,0.6157049101339315
num__T stage,0.5474879658140073,0.5474879658140073
num__Total protein,0.5462133210911759,0.5462133210911759
num__MCH,0.5373344316294199,0.5373344316294199
num__Carcinoma nodule,0.5347781178672014,0.5347781178672014
num__CD4 count,0.4713911625238914,0.4713911625238914
num__Monocyte absolute,0.44088981041451875,0.44088981041451875
num__Globulin,0.43541413604212176,0.43541413604212176
cat__MSI-H_1,0.4318571744332304,0.4318571744332304
num__KRAS mutant,0.4287839011855474,0.4287839011855474
num__N stage,0.42741458934056553,0.42741458934056553
cat__Hyperlipidemia_0,0.4220474734580392,0.4220474734580392
num__Albumin,0.3883253201422859,0.3883253201422859
num__Age,0.3784285409791174,0.3784285409791174
num__CD8+ naive T cell%,0.3783653531354245,0.3783653531354245
num__Vascular invasion,0.3740355126283819,0.3740355126283819
num__Signet-ring cell carcinoma,0.349992860286788,0.349992860286788
num__Neutrophil%,0.3408566700406978,0.3408566700406978
num__Tumor volume,0.33935510067371427,0.33935510067371427
cat__MSH2_1,0.337910195818938,0.337910195818938
num__BMI,0.3358253753911977,0.3358253753911977
num__EGFR,0.32480414357761306,0.32480414357761306
num__Tumor size,0.32167110343795946,0.32167110343795946
cat__MSH6_0,0.3207033453536428,0.3207033453536428
num__RBC,0.30766668306502487,0.30766668306502487
num__Treg cells%,0.3045978618459019,0.3045978618459019
num__IL8,0.30381189447229623,0.30381189447229623
num__Family history,0.30327318208240417,0.30327318208240417
num__CD8+ memory T cell%,0.30312044374032476,0.30312044374032476
num__Differentiation grade,0.28487936630037125,0.28487936630037125
num__VitC,0.28157136508865344,0.28157136508865344
num__NK count,0.2787131839916533,0.2787131839916533
num__Ki67,0.27541104985311654,0.27541104985311654
num__IL5,0.2672206851269275,0.2672206851269275
num__Platelet count,0.26427031144036933,0.26427031144036933
num__Monocyte%,0.26230254017972365,0.26230254017972365
num__Coronary artery disease,0.262133186896523,0.262133186896523
num__AFP,0.25955426274686044,0.25955426274686044
num__CD8+CD25+/CD8+%,0.25675647548556346,0.25675647548556346
cat__Diabetes_1,0.25243439684217833,0.25243439684217833
num__ALP,0.24788527292985418,0.24788527292985418
num__Plateletcrit,0.24585492535367903,0.24585492535367903
num__CYFRA21 1,0.2397801428096212,0.2397801428096212
num__IgE,0.23252849667121192,0.23252849667121192
num__Total bile acids,0.23112272697951994,0.23112272697951994
num__CEA,0.22838055180425923,0.22838055180425923
num__Iron,0.22470131013533648,0.22470131013533648
num__CD8 CD28+,0.22244204213739677,0.22244204213739677
num__CD19 count,0.20532436999682677,0.20532436999682677
num__RBP,0.2035297401148012,0.2035297401148012
cat__MSH2_0,0.20032193113062158,0.20032193113062158
num__CA153,0.19373949714558833,0.19373949714558833
num__WBC,0.17986567079822374,0.17986567079822374
num__LDH,0.17451864542522263,0.17451864542522263
num__CD4 T cells,0.17153873074728476,0.17153873074728476
num__IL10,0.17024990660128955,0.17024990660128955
num__IL4,0.17024990660128955,0.17024990660128955
num__TNF alpha,0.17024990660128955,0.17024990660128955
num__IL12 p70,0.17024990660128955,0.17024990660128955
num__IL2,0.17024990660128955,0.17024990660128955
num__IFN alpha,0.17024990660128955,0.17024990660128955
num__CD8 count,0.1679683583180466,0.1679683583180466
cat__MLH1_1,0.1668362702981915,0.1668362702981915
num__VitB2,0.16200303799394952,0.16200303799394952
cat__PMS2_0,0.1590020994965973,0.1590020994965973
cat__MLH1_0,0.15685675888913814,0.15685675888913814
num__Prealbumin,0.15463553270241837,0.15463553270241837
cat__PMS2_1,0.13127794941022808,0.13127794941022808
num__CA724,0.12811603279435244,0.12811603279435244
cat__MSH6_1,0.12541323799212115,0.12541323799212115
