feature,importance,abs_importance
num__Carcinoma nodule,0.06682249457310603,0.06682249457310603
num__N stage,0.06259445062045516,0.06259445062045516
num__CEA,0.0529695350352155,0.0529695350352155
num__Iron,0.04755748099504503,0.04755748099504503
num__CA50,0.04729808185491424,0.04729808185491424
num__CA199,0.04413443597916111,0.04413443597916111
num__CA242,0.043214154582036694,0.043214154582036694
num__Vascular invasion,0.04310540366669527,0.04310540366669527
num__CYFRA21 1,0.04275400640073699,0.04275400640073699
num__CD3 count,0.042201750814006136,0.042201750814006136
num__VitE,0.04213481555333735,0.04213481555333735
num__CD19 count,0.039586343555615265,0.039586343555615265
num__LDH,0.038953795609915874,0.038953795609915874
num__T stage,0.0375172690917461,0.0375172690917461
num__ALP,0.03648469289654146,0.03648469289654146
num__NSE,0.03631374477515664,0.03631374477515664
num__Globulin,0.036015194262151086,0.036015194262151086
num__Treg cells%,0.03574141775802391,0.03574141775802391
num__VitA,0.03488329612823765,0.03488329612823765
num__RBP,0.03469929595776983,0.03469929595776983
num__Lymphocyte%,0.03411499480349124,0.03411499480349124
num__VitB1,0.03384382247275405,0.03384382247275405
num__VitB2,0.03375294826171066,0.03375294826171066
num__BMI,0.03330657435217668,0.03330657435217668
