feature,importance,abs_importance
num__Carcinoma nodule,0.1483990896234251,0.1483990896234251
num__N stage,0.0818845995485973,0.0818845995485973
num__VitE,0.04972240353603821,0.04972240353603821
num__CEA,0.04865421292205221,0.04865421292205221
num__T stage,0.046006226219974765,0.046006226219974765
num__Iron,0.04193442338562139,0.04193442338562139
num__Vascular invasion,0.03735323166550813,0.03735323166550813
num__CA50,0.033767975378841034,0.033767975378841034
num__AFP,0.026736982259494578,0.026736982259494578
num__Treg cells%,0.026188238709903826,0.026188238709903826
num__CD3 count,0.022915134310771662,0.022915134310771662
num__ALP,0.021852979098231074,0.021852979098231074
num__LDH,0.021754803377261163,0.021754803377261163
num__Perineural invasion,0.021617163323926235,0.021617163323926235
num__CA242,0.019687637609370673,0.019687637609370673
num__NSE,0.01952901278123644,0.01952901278123644
num__Total bile acids,0.019354600674299817,0.019354600674299817
num__CD8 count,0.01852158058454911,0.01852158058454911
num__CD4+ memory T cell%,0.017548345481974054,0.017548345481974054
num__Globulin,0.01747526709754805,0.01747526709754805
num__Tumor volume,0.01624123373384215,0.01624123373384215
num__CD8+ naive T cell%,0.015834325968399447,0.015834325968399447
num__NK count,0.015795114237117054,0.015795114237117054
num__IL8,0.015342702374652486,0.015342702374652486
num__CYFRA21 1,0.014882114557320992,0.014882114557320992
num__Lymphocyte absolute,0.01410307085948916,0.01410307085948916
num__RBP,0.014101089010646153,0.014101089010646153
num__KRAS mutant,0.013095819811759122,0.013095819811759122
num__CA724,0.012912004530708657,0.012912004530708657
num__BMI,0.012564154662066715,0.012564154662066715
num__IgM,0.0125479700704988,0.0125479700704988
num__CD4 count,0.011850746305684424,0.011850746305684424
num__Age,0.011830195996626686,0.011830195996626686
num__Total protein,0.01164105065188873,0.01164105065188873
num__Regulatory T cells,0.01072235834391812,0.01072235834391812
cat__MSI-H_0,0.010681220500347163,0.010681220500347163
num__RBC,0.01042512175645037,0.01042512175645037
num__CA199,0.01017275739924709,0.01017275739924709
num__CD3+ HLA+ DR+,0.009905132529558382,0.009905132529558382
num__CD8+CD25+/CD8+%,0.008857559170547376,0.008857559170547376
num__IgE,0.005590349940606264,0.005590349940606264
