feature,importance,abs_importance
num__Neutrophil absolute,0.9515750771751215,0.9515750771751215
num__WBC,0.7437443265181791,0.7437443265181791
num__Platelet count,0.7093899719250132,0.7093899719250132
num__T stage,0.5498029894260199,0.5498029894260199
num__Plateletcrit,0.5126798474259431,0.5126798474259431
num__Total T lymphocytes,0.4839391836330975,0.4839391836330975
num__NK cells,0.4663183248484888,0.4663183248484888
num__Age,0.45191869502709636,0.45191869502709636
num__Total B lymphocytes,0.41950247533724827,0.41950247533724827
num__MCH,0.41758752910325114,0.41758752910325114
num__Neutrophil%,0.39562528416128373,0.39562528416128373
num__N stage,0.38227012296739815,0.38227012296739815
num__Treg cells%,0.3573343813516914,0.3573343813516914
num__Carcinoma nodule,0.3491585145679146,0.3491585145679146
num__CD3 count,0.3381514907207368,0.3381514907207368
num__IL5,0.3088047114114083,0.3088047114114083
num__EGFR,0.3011155056122874,0.3011155056122874
num__Signet-ring cell carcinoma,0.293443105819172,0.293443105819172
num__MPV,0.27667090836255426,0.27667090836255426
num__IL8,0.2762657409192375,0.2762657409192375
num__A G ratio,0.2750917651196616,0.2750917651196616
num__Albumin,0.2732853184754873,0.2732853184754873
num__Hematocrit,0.2723627334878316,0.2723627334878316
num__KRAS mutant,0.26479257881927154,0.26479257881927154
num__Tumor size,0.25670176249182397,0.25670176249182397
num__IgE,0.2535108445897132,0.2535108445897132
num__VitC,0.24666760828222323,0.24666760828222323
num__CD8 count,0.24262752801792686,0.24262752801792686
num__Prealbumin,0.2407089415930237,0.2407089415930237
num__NK count,0.23779409744516755,0.23779409744516755
num__Tumor volume,0.23697470217085126,0.23697470217085126
num__Family history,0.2369016531588457,0.2369016531588457
num__Total protein,0.2366553811185952,0.2366553811185952
num__CD8 CD28+,0.2297934655003946,0.2297934655003946
num__ALP,0.21073703345416916,0.21073703345416916
num__Ki67,0.207384924909789,0.207384924909789
num__VitB2,0.20474407903665792,0.20474407903665792
num__CA153,0.19189032556537455,0.19189032556537455
num__CA242,0.1896992742806276,0.1896992742806276
num__CYFRA21 1,0.18883925024135273,0.18883925024135273
num__Total cholesterol,0.18624082860869606,0.18624082860869606
cat__MSI-H_0,0.18542600133907428,0.18542600133907428
cat__MSI-H_1,0.18542600133898546,0.18542600133898546
num__Total bile acids,0.17463994544558936,0.17463994544558936
num__Vascular invasion,0.17301550256146214,0.17301550256146214
num__BMI,0.14977716766478721,0.14977716766478721
num__Differentiation grade,0.14844248596712362,0.14844248596712362
num__Regulatory T cells,0.13957248543360734,0.13957248543360734
num__RBC,0.11313920629112317,0.11313920629112317
