feature,importance,abs_importance
num__Carcinoma nodule,0.0950666069984436,0.0950666069984436
num__N stage,0.07558000087738037,0.07558000087738037
num__Vascular invasion,0.05018378421664238,0.05018378421664238
num__Perineural invasion,0.047448743134737015,0.047448743134737015
num__T stage,0.038254473358392715,0.038254473358392715
num__KRAS mutant,0.028042204678058624,0.028042204678058624
num__CEA,0.02449776604771614,0.02449776604771614
num__Iron,0.024414092302322388,0.024414092302322388
num__CA242,0.02366592362523079,0.02366592362523079
num__CYFRA21 1,0.022377751767635345,0.022377751767635345
num__CA50,0.022320767864584923,0.022320767864584923
num__ALP,0.021336914971470833,0.021336914971470833
cat__MSI-H_0,0.020701086148619652,0.020701086148619652
num__Total protein,0.020103607326745987,0.020103607326745987
num__IL8,0.019043423235416412,0.019043423235416412
num__Differentiation grade,0.018534502014517784,0.018534502014517784
num__Treg cells%,0.01843964122235775,0.01843964122235775
num__CD3 count,0.018247660249471664,0.018247660249471664
num__CD8 count,0.01793799176812172,0.01793799176812172
num__VitE,0.017806755378842354,0.017806755378842354
num__RBC,0.01739731803536415,0.01739731803536415
num__CA724,0.01717441901564598,0.01717441901564598
num__Lymphocyte absolute,0.01688402332365513,0.01688402332365513
num__LDH,0.016810264438390732,0.016810264438390732
num__NSE,0.01655948907136917,0.01655948907136917
num__Total bile acids,0.015813088044524193,0.015813088044524193
num__CD19 count,0.01578010432422161,0.01578010432422161
num__Globulin,0.015504837967455387,0.015504837967455387
num__Neutrophil%,0.015466258861124516,0.015466258861124516
num__VitA,0.015453152358531952,0.015453152358531952
num__Regulatory T cells,0.015410135500133038,0.015410135500133038
num__RBP,0.015251762233674526,0.015251762233674526
num__IgE,0.014963855035603046,0.014963855035603046
num__Tumor size,0.014928266406059265,0.014928266406059265
num__SCCA,0.014842991717159748,0.014842991717159748
num__AFP,0.014639127068221569,0.014639127068221569
num__Early activated T cells,0.014550050720572472,0.014550050720572472
num__IL5,0.01454666256904602,0.01454666256904602
num__BMI,0.014354269951581955,0.014354269951581955
num__IgM,0.014342067763209343,0.014342067763209343
num__CA153,0.013990930281579494,0.013990930281579494
num__CA125,0.01333450898528099,0.01333450898528099
num__CD8+CD25+/CD8+%,0.013197004795074463,0.013197004795074463
num__Plateletcrit,0.012911166995763779,0.012911166995763779
num__CD4 count,0.011890549212694168,0.011890549212694168
