model,k,accuracy,kappa
DT,1,0.5998641975308641,0.10667898570359856
DT,2,0.577702160493827,0.09186307726262148
DT,6,0.6733456790123457,0.3007698517733988
DT,11,0.6949305555555554,0.3447139122092116
DT,15,0.7166944444444444,0.3913289024075026
DT,19,0.7022283950617285,0.36146317168594083
DT,24,0.7025787037037037,0.36278295840872987
DT,28,0.7003626543209878,0.3588144038377349
DT,32,0.6907700617283952,0.3377716994499032
DT,36,0.6890262345679011,0.3318811566485012
DT,41,0.6918842592592596,0.33632334920883666
DT,45,0.6892608024691357,0.3319695844366006
DT,49,0.6859043209876543,0.32568359435872574
DT,54,0.6781466049382716,0.31122305036787484
DT,58,0.6812685185185184,0.3142879562348175
DT,62,0.677020061728395,0.30710923410289864
DT,67,0.6757978395061728,0.30433136455577875
DT,71,0.6775509259259259,0.30836882379873676
DT,75,0.6766790123456791,0.30554832441513463
DT,80,0.6745648148148148,0.3015518925574075
DT,84,0.6751990740740742,0.3032472327851451
DT,88,0.6714490740740741,0.2922656374137458
DT,93,0.672307098765432,0.29579479318306834
DT,97,0.6652330246913581,0.2813460563086052
DT,101,0.6672314814814816,0.2847709372661447
DT,105,0.6652145061728395,0.2812940712044973
DT,110,0.6631126543209876,0.2763042251093213
DT,114,0.6581234567901234,0.2655703467087924
DT,118,0.6626157407407408,0.2746235463496489
DT,123,0.661614197530864,0.27325210857463567
DT,127,0.6602314814814815,0.2678129018681237
