model,k,accuracy,kappa
KNN,1,0.37681635802469127,0.00590126504136623
KNN,2,0.37681635802469127,0.00590126504136623
KNN,6,0.4457253086419753,0.0060325629082797075
KNN,11,0.48039814814814813,0.031141970295002815
KNN,15,0.6737932098765436,0.2983555026383356
KNN,19,0.6762901234567902,0.26291847256511397
KNN,24,0.6734413580246913,0.23339373306015043
KNN,28,0.6665555555555556,0.22407195871995447
KNN,32,0.6806774691358024,0.25358050342173805
KNN,36,0.6839120370370371,0.2587464584138728
KNN,41,0.7118564814814813,0.32103787089893054
KNN,45,0.7191975308641976,0.333974696533005
KNN,49,0.7109645061728395,0.31871792713381153
KNN,54,0.7038842592592591,0.29672069164655585
KNN,58,0.6980169753086417,0.2793856264386958
KNN,62,0.7063441358024692,0.3103375330998946
KNN,67,0.6880339506172839,0.25657544394646603
KNN,71,0.6966496913580247,0.28306195103505294
KNN,75,0.6950324074074073,0.26850054242263166
KNN,80,0.7006512345679013,0.27743253731034917
KNN,84,0.696135802469136,0.26449872317797035
KNN,88,0.6981404320987653,0.2649352540693466
KNN,93,0.6970061728395062,0.25784457607741107
KNN,97,0.708983024691358,0.2919786348540837
KNN,101,0.708983024691358,0.294099287883267
KNN,105,0.7043518518518519,0.2781247624925375
KNN,110,0.7162083333333333,0.3037509074228968
KNN,114,0.7220447530864198,0.326321721019134
KNN,118,0.7254398148148148,0.3346960775228562
KNN,123,0.7234475308641976,0.32731733511637373
KNN,127,0.718101851851852,0.3156488107678357
