model,k,accuracy,kappa
LR,1,0.7070185185185184,0.28699908074550917
LR,2,0.7356820987654321,0.3753419067473569
LR,6,0.7704845679012348,0.48439097169362705
LR,11,0.7729598765432096,0.4968229197921948
LR,15,0.7718472222222222,0.49412066114256853
LR,19,0.7788410493827159,0.5105420773094371
LR,24,0.7773256172839506,0.5088886538200315
LR,28,0.7834274691358025,0.521958221939132
LR,32,0.7843117283950618,0.5241854109394012
LR,36,0.7814413580246913,0.5190337210725567
LR,41,0.7861666666666666,0.5304130705346874
LR,45,0.7805632716049383,0.5185993275464129
LR,49,0.7753302469135803,0.5087229489066187
LR,54,0.7843055555555555,0.5284169591576452
LR,58,0.7850756172839509,0.5305036563619648
LR,62,0.7874320987654322,0.5360364312915655
LR,67,0.7864290123456792,0.5327660136312174
LR,71,0.7881743827160492,0.5358907624439601
LR,75,0.7904228395061729,0.5415648157711805
LR,80,0.7886790123456789,0.5379285871741684
LR,84,0.789050925925926,0.5390727131199329
LR,88,0.788300925925926,0.5368030308830766
LR,93,0.7840648148148149,0.5272242952097848
LR,97,0.781817901234568,0.5222182602964217
LR,101,0.7798240740740741,0.5184055750514138
LR,105,0.7763287037037037,0.510314539269315
LR,110,0.7737052469135803,0.5053224303264279
LR,114,0.7730817901234568,0.5040424509600198
LR,118,0.7712160493827162,0.4994514198011791
LR,123,0.7664799382716051,0.48939075122813835
LR,127,0.7626095679012346,0.4809957611742437
