model,k,accuracy,kappa
NB,1,0.437925925925926,0.05901842626667157
NB,2,0.4021512345679012,0.030269798936014718
NB,6,0.4113626543209876,0.040516544070023114
NB,11,0.4311743827160494,0.06092282872126034
NB,15,0.4346651234567901,0.0667777142040165
NB,19,0.4773040123456791,0.11407474514565955
NB,24,0.504108024691358,0.1474177833845653
NB,28,0.5047391975308642,0.14817726299049724
NB,32,0.5343070987654321,0.18814428366533228
NB,36,0.5582391975308643,0.21900446823818215
NB,41,0.6568935185185186,0.35274375202227354
NB,45,0.6556358024691359,0.34928600079648936
NB,49,0.6575108024691358,0.3515581967027353
NB,54,0.5816867283950619,0.2526039070327639
NB,58,0.5576172839506173,0.21882172765465163
NB,62,0.5723364197530865,0.24068294199051712
NB,67,0.5683456790123457,0.23471607492216368
NB,71,0.5500246913580247,0.2093222527072004
NB,75,0.5558858024691358,0.21714505130529477
NB,80,0.5474043209876543,0.20700941572404885
NB,84,0.5451512345679013,0.20402770257326544
NB,88,0.5437808641975309,0.2020875694690145
NB,93,0.5501466049382716,0.2112866147158935
NB,97,0.5532638888888889,0.21477831224521624
NB,101,0.5868163580246913,0.2607611297997909
NB,105,0.6026404320987655,0.28280399359914576
NB,110,0.6016404320987655,0.28063625810972337
NB,114,0.6021404320987653,0.2810393191008015
NB,118,0.6047515432098767,0.2847727892315531
NB,123,0.610878086419753,0.2914417091424584
NB,127,0.623966049382716,0.3100456361164452
