model,k,accuracy,kappa
NNET,1,0.6309259259259261,0.0
NNET,2,0.6309259259259261,0.0
NNET,6,0.6309259259259261,0.0
NNET,11,0.6706666666666667,0.273915728275123
NNET,15,0.7406373456790124,0.41792857475072814
NNET,19,0.7354027777777776,0.41272130391323164
NNET,24,0.7336466049382715,0.41519280485243953
NNET,28,0.739253086419753,0.42563075594951466
NNET,32,0.7385154320987654,0.42775075741559476
NNET,36,0.7537407407407407,0.4576456671426514
NNET,41,0.7381496913580249,0.42345381792254616
NNET,45,0.7362870370370369,0.42337851064789306
NNET,49,0.7406250000000001,0.43239100677864895
NNET,54,0.7285663580246913,0.4072076068300976
NNET,58,0.7326867283950617,0.4139067889589182
NNET,62,0.7291820987654322,0.4091388005111174
NNET,67,0.7441635802469135,0.4414200940767509
NNET,71,0.7378950617283953,0.42882622853525887
NNET,75,0.7400277777777778,0.4305990132936024
NNET,80,0.731807098765432,0.4175806206172505
NNET,84,0.740530864197531,0.43439744395130775
NNET,88,0.7436373456790123,0.43988056234644807
NNET,93,0.7434151234567902,0.4397963448618203
NNET,97,0.7417716049382715,0.4396070934840429
NNET,101,0.7438765432098765,0.4410935244353609
NNET,105,0.744128086419753,0.44194611029381614
NNET,110,0.7496728395061727,0.4565857751394384
NNET,114,0.7371867283950617,0.4268732264074134
NNET,118,0.7422685185185185,0.43695240065816554
NNET,123,0.7340617283950617,0.4206586571059109
NNET,127,0.7362762345679014,0.4254156665868741
