model,k,accuracy,kappa
RF,1,0.590070987654321,0.11799694070895678
RF,2,0.6431327160493828,0.17995299068822235
RF,6,0.6970231481481483,0.3105862720764692
RF,11,0.7661064814814815,0.4736066719323989
RF,15,0.759868827160494,0.457799348330496
RF,19,0.7929120370370368,0.5340807918533702
RF,24,0.7939259259259258,0.5349475232386234
RF,28,0.7858163580246914,0.5166627437211126
RF,32,0.7929089506172841,0.531415534749398
RF,36,0.787425925925926,0.5192218038807279
RF,41,0.7890524691358025,0.5212527161568397
RF,45,0.7925493827160492,0.5284938370849874
RF,49,0.7899243827160493,0.5239793265732028
RF,54,0.7896635802469136,0.5224282105862113
RF,58,0.7884336419753086,0.5194689500166274
RF,62,0.7874351851851853,0.5156233405310003
RF,67,0.7875524691358023,0.5162548103092424
RF,71,0.7865416666666666,0.5133434452306399
RF,75,0.7860540123456791,0.5125991024553929
RF,80,0.7900293209876543,0.5208469294524402
RF,84,0.7841682098765432,0.5068837536435102
RF,88,0.7853009259259258,0.5106194621061622
RF,93,0.7876620370370372,0.513868460724812
RF,97,0.7861682098765432,0.511115519961991
RF,101,0.7864197530864198,0.5116148217379476
RF,105,0.7874089506172841,0.5136342866758836
RF,110,0.7899120370370372,0.5191205020497163
RF,114,0.7895447530864197,0.5184676203579129
RF,118,0.7876712962962964,0.5137596337476483
RF,123,0.7880416666666669,0.5148787080747053
RF,127,0.7877916666666667,0.5146992588904291
