model,k,accuracy,kappa
SGBT,1,0.6392839506172839,0.12718525800836575
SGBT,2,0.741391975308642,0.4141256787899838
SGBT,6,0.7581296296296297,0.4609463108696641
SGBT,11,0.7760756172839506,0.502981169180163
SGBT,15,0.7817052469135801,0.5136480817045586
SGBT,19,0.7780802469135801,0.5068577961462055
SGBT,24,0.7813209876543209,0.5141034579612309
SGBT,28,0.7840601851851852,0.5192521471148452
SGBT,32,0.7901712962962965,0.5326506079467945
SGBT,36,0.7878040123456792,0.5256368037429477
SGBT,41,0.7926774691358025,0.5366212944075612
SGBT,45,0.7906805555555555,0.5319947688814761
SGBT,49,0.7882947530864197,0.5271860066234904
SGBT,54,0.7919320987654322,0.5348263418628825
SGBT,58,0.789307098765432,0.5297702890827343
SGBT,62,0.7862006172839506,0.5232601208644185
SGBT,67,0.7870478395061729,0.5249501920820991
SGBT,71,0.7833271604938271,0.5166139882008968
SGBT,75,0.7858055555555556,0.5218016395047647
SGBT,80,0.7817052469135802,0.5120380921156303
SGBT,84,0.7815632716049382,0.5122373016427282
SGBT,88,0.7845570987654321,0.518241305065518
SGBT,93,0.7811898148148149,0.5112971674389254
SGBT,97,0.7795586419753087,0.5076336997415312
SGBT,101,0.7801836419753085,0.509217993714585
SGBT,105,0.7812006172839504,0.5108496747305271
SGBT,110,0.7768379629629629,0.5008349745589632
SGBT,114,0.7769614197530863,0.5020406770257813
SGBT,118,0.7762191358024692,0.4999900457051784
SGBT,123,0.7764598765432098,0.49999066737051756
SGBT,127,0.7761990740740738,0.49955733495880034
