model,k,accuracy,kappa
SVM,1,0.7418827160493826,0.3999731172187884
SVM,2,0.7418827160493826,0.3999731172187884
SVM,6,0.7415077160493827,0.39929586854153976
SVM,11,0.747753086419753,0.4261736366152067
SVM,15,0.7782006172839507,0.5072735433582827
SVM,19,0.7699598765432097,0.48762893195971385
SVM,24,0.7795648148148149,0.5124532088272901
SVM,28,0.7816882716049384,0.5180571412449861
SVM,32,0.7904135802469137,0.5384207708945258
SVM,36,0.7902993827160494,0.5370209433262823
SVM,41,0.7955277777777775,0.5491164243118793
SVM,45,0.8065925925925925,0.5749465241492075
SVM,49,0.8102253086419751,0.5845004015519476
SVM,54,0.8087422839506173,0.5820615668993363
SVM,58,0.8063595679012344,0.5762174720638048
SVM,62,0.8018811728395062,0.5655715922722326
SVM,67,0.8078703703703703,0.5778232073430134
SVM,71,0.8035108024691359,0.5691604904414258
SVM,75,0.7992592592592592,0.5600547847792325
SVM,80,0.8001527777777779,0.562174762280704
SVM,84,0.7977731481481483,0.5577740702622391
SVM,88,0.8021373456790123,0.5686728199461181
SVM,93,0.7969012345679012,0.5565388433358531
SVM,97,0.7920385802469134,0.5458099598853487
SVM,101,0.7844351851851853,0.53017237058284
SVM,105,0.7780694444444446,0.5159324424120302
SVM,110,0.7756944444444446,0.5103096268454658
SVM,114,0.7712083333333334,0.49988851792745054
SVM,118,0.7673333333333333,0.4914639949787766
SVM,123,0.7624552469135802,0.4808794623828894
SVM,127,0.7628287037037037,0.4817865520699456
