model,k,accuracy,kappa
XGB,1,0.7418827160493826,0.3999731172187884
XGB,2,0.7367870370370371,0.4092236593086539
XGB,6,0.7503796296296298,0.44609689613046327
XGB,11,0.7747006172839507,0.503132094872955
XGB,15,0.7786944444444446,0.5135247264627637
XGB,19,0.7814398148148147,0.5178682648380502
XGB,24,0.7905447530864197,0.5384448334116556
XGB,28,0.7909120370370368,0.5391559879823167
XGB,32,0.7892916666666667,0.5343045545022906
XGB,36,0.7908055555555557,0.5361442726318744
XGB,41,0.7966604938271604,0.5476526837953846
XGB,45,0.8006419753086419,0.5573688891830042
XGB,49,0.7983996913580249,0.5518360183775366
XGB,54,0.7965246913580246,0.5482124823864508
XGB,58,0.7962854938271604,0.5467763056006517
XGB,62,0.7960416666666668,0.5474524653729042
XGB,67,0.7904290123456791,0.5337508556433489
XGB,71,0.7939135802469137,0.5418462245379748
XGB,75,0.7897901234567901,0.5321458268343708
XGB,80,0.786429012345679,0.5245164248577553
XGB,84,0.7889228395061729,0.5295567168576002
XGB,88,0.7833209876543211,0.5164508984524385
XGB,93,0.7900632716049383,0.5314046784058032
XGB,97,0.7838194444444444,0.5170373584138315
XGB,101,0.7862067901234567,0.5225608070234348
XGB,105,0.7884413580246915,0.528807226592807
XGB,110,0.7848240740740742,0.5197840464486605
XGB,114,0.7856990740740741,0.5215566501402961
XGB,118,0.7851820987654321,0.5204169899778028
XGB,123,0.7843132716049382,0.5174827126216501
XGB,127,0.7814490740740742,0.5118021983428682
