model,k,accuracy,kappa
LR,1,0.7070185185185184,0.28699908074550917
LR,2,0.7356820987654321,0.3753419067473569
LR,6,0.7704845679012348,0.48439097169362705
LR,11,0.7729598765432096,0.4968229197921948
LR,15,0.7718472222222222,0.49412066114256853
LR,19,0.7788410493827159,0.5105420773094371
LR,24,0.7773256172839506,0.5088886538200315
LR,28,0.7834274691358025,0.521958221939132
LR,32,0.7843117283950618,0.5241854109394012
LR,36,0.7814413580246913,0.5190337210725567
LR,41,0.7861666666666666,0.5304130705346874
LR,45,0.7805632716049383,0.5185993275464129
LR,49,0.7753302469135803,0.5087229489066187
LR,54,0.7843055555555555,0.5284169591576452
LR,58,0.7850756172839509,0.5305036563619648
LR,62,0.7874320987654322,0.5360364312915655
LR,67,0.7864290123456792,0.5327660136312174
LR,71,0.7881743827160492,0.5358907624439601
LR,75,0.7904228395061729,0.5415648157711805
LR,80,0.7886790123456789,0.5379285871741684
LR,84,0.789050925925926,0.5390727131199329
LR,88,0.788300925925926,0.5368030308830766
LR,93,0.7840648148148149,0.5272242952097848
LR,97,0.781817901234568,0.5222182602964217
LR,101,0.7798240740740741,0.5184055750514138
LR,105,0.7763287037037037,0.510314539269315
LR,110,0.7737052469135803,0.5053224303264279
LR,114,0.7730817901234568,0.5040424509600198
LR,118,0.7712160493827162,0.4994514198011791
LR,123,0.7664799382716051,0.48939075122813835
LR,127,0.7626095679012346,0.4809957611742437
DT,1,0.5998641975308641,0.10667898570359856
DT,2,0.577702160493827,0.09186307726262148
DT,6,0.6733456790123457,0.3007698517733988
DT,11,0.6949305555555554,0.3447139122092116
DT,15,0.7166944444444444,0.3913289024075026
DT,19,0.7022283950617285,0.36146317168594083
DT,24,0.7025787037037037,0.36278295840872987
DT,28,0.7003626543209878,0.3588144038377349
DT,32,0.6907700617283952,0.3377716994499032
DT,36,0.6890262345679011,0.3318811566485012
DT,41,0.6918842592592596,0.33632334920883666
DT,45,0.6892608024691357,0.3319695844366006
DT,49,0.6859043209876543,0.32568359435872574
DT,54,0.6781466049382716,0.31122305036787484
DT,58,0.6812685185185184,0.3142879562348175
DT,62,0.677020061728395,0.30710923410289864
DT,67,0.6757978395061728,0.30433136455577875
DT,71,0.6775509259259259,0.30836882379873676
DT,75,0.6766790123456791,0.30554832441513463
DT,80,0.6745648148148148,0.3015518925574075
DT,84,0.6751990740740742,0.3032472327851451
DT,88,0.6714490740740741,0.2922656374137458
DT,93,0.672307098765432,0.29579479318306834
DT,97,0.6652330246913581,0.2813460563086052
DT,101,0.6672314814814816,0.2847709372661447
DT,105,0.6652145061728395,0.2812940712044973
DT,110,0.6631126543209876,0.2763042251093213
DT,114,0.6581234567901234,0.2655703467087924
DT,118,0.6626157407407408,0.2746235463496489
DT,123,0.661614197530864,0.27325210857463567
DT,127,0.6602314814814815,0.2678129018681237
RF,1,0.590070987654321,0.11799694070895678
RF,2,0.6431327160493828,0.17995299068822235
RF,6,0.6970231481481483,0.3105862720764692
RF,11,0.7661064814814815,0.4736066719323989
RF,15,0.759868827160494,0.457799348330496
RF,19,0.7929120370370368,0.5340807918533702
RF,24,0.7939259259259258,0.5349475232386234
