feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.15149516588979656,0.15149516588979656
23,CD4+ count(cells/ul),num__CD4+ count,0.08099902828652303,0.08099902828652303
22,Treg cells %,num__Treg cells %,0.07767097016150731,0.07767097016150731
3,Total protein(g/L),num__Total protein,0.06805377893199331,0.06805377893199331
20,CD19+ B cells %,num__CD19+ B cells %,0.06444309828927366,0.06444309828927366
31,CA242(U/mL),num__CA242,0.06424789024315672,0.06424789024315672
1,LDH(U/L),num__LDH,0.06086885682200487,0.06086885682200487
25,CD19+ count(cells/ul),num__CD19+ count,0.05421487563351396,0.05421487563351396
21,NK cells %,num__NK cells %,0.05239654749795736,0.05239654749795736
32,CA199(U/mL),num__CA199,0.04476231651879276,0.04476231651879276
33,CEA(ng/ml),num__CEA,0.04322189734673508,0.04322189734673508
63,Perineural invasion(No),cat__Perineural invasion_0,0.03366327176522808,0.03366327176522808
45,TNLE,num__TNLE,0.03351725718128445,0.03351725718128445
48,NLR,num__NLR,0.0334356839329616,0.0334356839329616
27,CD3+ count(cells/ul),num__CD3+ count,0.02287079059389318,0.02287079059389318
47,Ki67(%),num__Ki67,0.017086097905545074,0.017086097905545074
7,IL8(pg/mL),num__IL8,0.015680756536552258,0.015680756536552258
43,Tumor size(cm),num__Tumor size,0.01547171277402815,0.01547171277402815
82,KRAS mutant(No),cat__KRAS mutant_0,0.014228456011231965,0.014228456011231965
57,N stage(N2),cat__N stage_2,0.01370287787063672,0.01370287787063672
46,PLN,num__PLN,0.012506020758412846,0.012506020758412846
77,Family history(Yes),cat__Family history_1,0.006839032527105921,0.006839032527105921
53,T stage(T1-T2),cat__T stage_T1-T2,0.006513364311529449,0.006513364311529449
89,mGPS: 1,cat__mGPS_1,0.004255398016865905,0.004255398016865905
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.0035027425853113854,0.0035027425853113854
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.0030395700120470757,0.0030395700120470757
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.0013125415961112398,0.0013125415961112398
72,PMS2(-),cat__PMS2_0,0.0,0.0
61,Vascular invasion(No),cat__Vascular invasion_0,0.0,0.0
74,MSH6(-),cat__MSH6_0,0.0,0.0
