feature_idx,feature_display,feature,importance,abs_importance
46,PLN,num__PLN,0.005040543045130197,0.005040543045130197
48,NLR,num__NLR,0.004876054119173401,0.004876054119173401
43,Tumor size(cm),num__Tumor size,0.003081966453526097,0.003081966453526097
57,N stage(N2),cat__N stage_2,0.0030411917338522775,0.0030411917338522775
23,CD4+ count(cells/ul),num__CD4+ count,-0.0026352979334630876,0.0026352979334630876
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.002575525901213982,0.002575525901213982
33,CEA(ng/ml),num__CEA,-0.0018742470577333137,0.0018742470577333137
1,LDH(U/L),num__LDH,-0.0016367806505421024,0.0016367806505421024
21,NK cells %,num__NK cells %,-0.0004758595125567866,0.0004758595125567866
45,TNLE,num__TNLE,0.0,0.0
22,Treg cells %,num__Treg cells %,0.0,0.0
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.0,0.0
72,PMS2(-),cat__PMS2_0,0.0,0.0
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.0,0.0
47,Ki67(%),num__Ki67,0.0,0.0
53,T stage(T1-T2),cat__T stage_T1-T2,0.0,0.0
7,IL8(pg/mL),num__IL8,0.0,0.0
82,KRAS mutant(No),cat__KRAS mutant_0,0.0,0.0
63,Perineural invasion(No),cat__Perineural invasion_0,0.0,0.0
61,Vascular invasion(No),cat__Vascular invasion_0,0.0,0.0
31,CA242(U/mL),num__CA242,0.0,0.0
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.0,0.0
27,CD3+ count(cells/ul),num__CD3+ count,0.0,0.0
32,CA199(U/mL),num__CA199,0.0,0.0
89,mGPS: 1,cat__mGPS_1,0.0,0.0
20,CD19+ B cells %,num__CD19+ B cells %,0.0,0.0
25,CD19+ count(cells/ul),num__CD19+ count,0.0,0.0
77,Family history(Yes),cat__Family history_1,0.0,0.0
74,MSH6(-),cat__MSH6_0,0.0,0.0
3,Total protein(g/L),num__Total protein,0.0,0.0
