feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.4308684117876979,0.4308684117876979
72,PMS2(-),cat__PMS2_0,0.4254561519477725,0.4254561519477725
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.29380688938789495,0.29380688938789495
61,Vascular invasion(No),cat__Vascular invasion_0,0.28786760981406595,0.28786760981406595
82,KRAS mutant(No),cat__KRAS mutant_0,0.2445818733492636,0.2445818733492636
45,TNLE,num__TNLE,0.23507551671801563,0.23507551671801563
22,Treg cells %,num__Treg cells %,0.217950302976774,0.217950302976774
57,N stage(N2),cat__N stage_2,0.21501705482958208,0.21501705482958208
33,CEA(ng/ml),num__CEA,0.21450467280274915,0.21450467280274915
53,T stage(T1-T2),cat__T stage_T1-T2,0.18477772172329007,0.18477772172329007
7,IL8(pg/mL),num__IL8,0.1759673373494428,0.1759673373494428
63,Perineural invasion(No),cat__Perineural invasion_0,0.1730377009050834,0.1730377009050834
46,PLN,num__PLN,0.17007618664874874,0.17007618664874874
89,mGPS: 1,cat__mGPS_1,0.16785437916923154,0.16785437916923154
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.1523404535277082,0.1523404535277082
27,CD3+ count(cells/ul),num__CD3+ count,0.14850912964246676,0.14850912964246676
20,CD19+ B cells %,num__CD19+ B cells %,0.1460403325730962,0.1460403325730962
47,Ki67(%),num__Ki67,0.14198216165696775,0.14198216165696775
43,Tumor size(cm),num__Tumor size,0.13388433531770305,0.13388433531770305
23,CD4+ count(cells/ul),num__CD4+ count,0.12687649639886098,0.12687649639886098
3,Total protein(g/L),num__Total protein,0.12404517408477393,0.12404517408477393
74,MSH6(-),cat__MSH6_0,0.11355691656673061,0.11355691656673061
48,NLR,num__NLR,0.11240242343337928,0.11240242343337928
31,CA242(U/mL),num__CA242,0.10504320619172045,0.10504320619172045
1,LDH(U/L),num__LDH,0.09417991471089684,0.09417991471089684
77,Family history(Yes),cat__Family history_1,0.08882464383208279,0.08882464383208279
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.08034227538970506,0.08034227538970506
32,CA199(U/mL),num__CA199,0.0587131591888633,0.0587131591888633
21,NK cells %,num__NK cells %,0.057216412433095366,0.057216412433095366
25,CD19+ count(cells/ul),num__CD19+ count,0.04426065320750156,0.04426065320750156
