feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.06914580809849659,0.06914580809849659
22,Treg cells %,num__Treg cells %,0.06357699224923619,0.06357699224923619
33,CEA(ng/ml),num__CEA,0.06051750923908241,0.06051750923908241
23,CD4+ count(cells/ul),num__CD4+ count,0.05404077457896496,0.05404077457896496
27,CD3+ count(cells/ul),num__CD3+ count,0.053817544692681976,0.053817544692681976
31,CA242(U/mL),num__CA242,0.05375567345631835,0.05375567345631835
1,LDH(U/L),num__LDH,0.05326724808619704,0.05326724808619704
3,Total protein(g/L),num__Total protein,0.05067297109488518,0.05067297109488518
25,CD19+ count(cells/ul),num__CD19+ count,0.04794492799720927,0.04794492799720927
46,PLN,num__PLN,0.04685631557588208,0.04685631557588208
32,CA199(U/mL),num__CA199,0.04589949632822362,0.04589949632822362
20,CD19+ B cells %,num__CD19+ B cells %,0.04582911102248619,0.04582911102248619
21,NK cells %,num__NK cells %,0.045744877536395855,0.045744877536395855
48,NLR,num__NLR,0.04467165739569042,0.04467165739569042
45,TNLE,num__TNLE,0.037750615930950845,0.037750615930950845
43,Tumor size(cm),num__Tumor size,0.034268398043742314,0.034268398043742314
57,N stage(N2),cat__N stage_2,0.030684491587708734,0.030684491587708734
63,Perineural invasion(No),cat__Perineural invasion_0,0.030258686134170282,0.030258686134170282
61,Vascular invasion(No),cat__Vascular invasion_0,0.026369208577638137,0.026369208577638137
47,Ki67(%),num__Ki67,0.025903883679469056,0.025903883679469056
7,IL8(pg/mL),num__IL8,0.021946736789088504,0.021946736789088504
53,T stage(T1-T2),cat__T stage_T1-T2,0.01247498225248227,0.01247498225248227
82,KRAS mutant(No),cat__KRAS mutant_0,0.010704564758402578,0.010704564758402578
89,mGPS: 1,cat__mGPS_1,0.007187947518847267,0.007187947518847267
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.006723721170913023,0.006723721170913023
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.005990080223627543,0.005990080223627543
72,PMS2(-),cat__PMS2_0,0.005237725716073241,0.005237725716073241
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.004114293454381852,0.004114293454381852
77,Family history(Yes),cat__Family history_1,0.003051232184092383,0.003051232184092383
74,MSH6(-),cat__MSH6_0,0.0015925246266618456,0.0015925246266618456
