feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.1905232637304762,0.1905232637304762
22,Treg cells %,num__Treg cells %,0.07397724249733786,0.07397724249733786
33,CEA(ng/ml),num__CEA,0.06258071405217719,0.06258071405217719
23,CD4+ count(cells/ul),num__CD4+ count,0.05491840858594646,0.05491840858594646
1,LDH(U/L),num__LDH,0.05426257494699894,0.05426257494699894
31,CA242(U/mL),num__CA242,0.05003814651239148,0.05003814651239148
63,Perineural invasion(No),cat__Perineural invasion_0,0.048576779357001505,0.048576779357001505
20,CD19+ B cells %,num__CD19+ B cells %,0.04316718243659277,0.04316718243659277
46,PLN,num__PLN,0.042011208761692516,0.042011208761692516
3,Total protein(g/L),num__Total protein,0.038896254561007336,0.038896254561007336
21,NK cells %,num__NK cells %,0.037977306429157524,0.037977306429157524
57,N stage(N2),cat__N stage_2,0.03714450657576492,0.03714450657576492
25,CD19+ count(cells/ul),num__CD19+ count,0.03505000029362182,0.03505000029362182
48,NLR,num__NLR,0.034416897608667174,0.034416897608667174
27,CD3+ count(cells/ul),num__CD3+ count,0.03364772428326187,0.03364772428326187
61,Vascular invasion(No),cat__Vascular invasion_0,0.027528243367946712,0.027528243367946712
45,TNLE,num__TNLE,0.02576822040135852,0.02576822040135852
7,IL8(pg/mL),num__IL8,0.02324192378554315,0.02324192378554315
32,CA199(U/mL),num__CA199,0.017934894082046075,0.017934894082046075
43,Tumor size(cm),num__Tumor size,0.013242318141510516,0.013242318141510516
72,PMS2(-),cat__PMS2_0,0.012131822850387173,0.012131822850387173
47,Ki67(%),num__Ki67,0.010111721856811447,0.010111721856811447
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.009451578421408174,0.009451578421408174
82,KRAS mutant(No),cat__KRAS mutant_0,0.009075367185424392,0.009075367185424392
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.004928997997959019,0.004928997997959019
53,T stage(T1-T2),cat__T stage_T1-T2,0.004501441686920971,0.004501441686920971
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.0024923955962307042,0.0024923955962307042
89,mGPS: 1,cat__mGPS_1,0.001448126882345902,0.001448126882345902
77,Family history(Yes),cat__Family history_1,0.0006241719747810678,0.0006241719747810678
74,MSH6(-),cat__MSH6_0,0.0003305651372305012,0.0003305651372305012
