feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.43845901078120164,0.43845901078120164
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.2146291462389236,0.2146291462389236
45,TNLE,num__TNLE,0.18955091276295377,0.18955091276295377
46,PLN,num__PLN,0.17842774131151007,0.17842774131151007
72,PMS2(-),cat__PMS2_0,0.17553479687508045,0.17553479687508045
57,N stage(N2),cat__N stage_2,0.16758872808198788,0.16758872808198788
31,CA242(U/mL),num__CA242,0.15649708268924023,0.15649708268924023
82,KRAS mutant(No),cat__KRAS mutant_0,0.14534573851264554,0.14534573851264554
61,Vascular invasion(No),cat__Vascular invasion_0,0.1288278049288749,0.1288278049288749
63,Perineural invasion(No),cat__Perineural invasion_0,0.127170978450998,0.127170978450998
33,CEA(ng/ml),num__CEA,0.12581538612501397,0.12581538612501397
22,Treg cells %,num__Treg cells %,0.11887951930215479,0.11887951930215479
48,NLR,num__NLR,0.10069691964123706,0.10069691964123706
89,mGPS: 1,cat__mGPS_1,0.09705410284642824,0.09705410284642824
77,Family history(Yes),cat__Family history_1,0.09140192396818492,0.09140192396818492
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.08962584178881627,0.08962584178881627
7,IL8(pg/mL),num__IL8,0.08442187697652415,0.08442187697652415
47,Ki67(%),num__Ki67,0.08279691038034542,0.08279691038034542
20,CD19+ B cells %,num__CD19+ B cells %,0.08006752747506596,0.08006752747506596
23,CD4+ count(cells/ul),num__CD4+ count,0.07930031130356952,0.07930031130356952
53,T stage(T1-T2),cat__T stage_T1-T2,0.07480390687197769,0.07480390687197769
27,CD3+ count(cells/ul),num__CD3+ count,0.07048005645657796,0.07048005645657796
74,MSH6(-),cat__MSH6_0,0.053617282847085335,0.053617282847085335
43,Tumor size(cm),num__Tumor size,0.05154069265241645,0.05154069265241645
3,Total protein(g/L),num__Total protein,0.05066871685343699,0.05066871685343699
1,LDH(U/L),num__LDH,0.040876123697685784,0.040876123697685784
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.03809008816383397,0.03809008816383397
32,CA199(U/mL),num__CA199,0.027172130765242386,0.027172130765242386
21,NK cells %,num__NK cells %,0.0221834984263225,0.0221834984263225
25,CD19+ count(cells/ul),num__CD19+ count,0.001949564764835543,0.001949564764835543
