feature_idx,feature_display,feature,importance,abs_importance
65,Carcinoma nodule(None),cat__Carcinoma nodule_0,0.16909471154212952,0.16909471154212952
63,Perineural invasion(No),cat__Perineural invasion_0,0.07313703000545502,0.07313703000545502
57,N stage(N2),cat__N stage_2,0.05639984831213951,0.05639984831213951
61,Vascular invasion(No),cat__Vascular invasion_0,0.053467750549316406,0.053467750549316406
46,PLN,num__PLN,0.04454305022954941,0.04454305022954941
53,T stage(T1-T2),cat__T stage_T1-T2,0.0353396013379097,0.0353396013379097
82,KRAS mutant(No),cat__KRAS mutant_0,0.033268727362155914,0.033268727362155914
72,PMS2(-),cat__PMS2_0,0.030241522938013077,0.030241522938013077
33,CEA(ng/ml),num__CEA,0.02764975093305111,0.02764975093305111
89,mGPS: 1,cat__mGPS_1,0.027638299390673637,0.027638299390673637
78,Colonic obstruction(No),cat__Colonic obstruction_0,0.027344483882188797,0.027344483882188797
22,Treg cells %,num__Treg cells %,0.02636527456343174,0.02636527456343174
31,CA242(U/mL),num__CA242,0.025479674339294434,0.025479674339294434
23,CD4+ count(cells/ul),num__CD4+ count,0.024533316493034363,0.024533316493034363
60,Differentiation grade(G3),cat__Differentiation grade_G3,0.02437545172870159,0.02437545172870159
1,LDH(U/L),num__LDH,0.02361490949988365,0.02361490949988365
7,IL8(pg/mL),num__IL8,0.02353551611304283,0.02353551611304283
20,CD19+ B cells %,num__CD19+ B cells %,0.02343922294676304,0.02343922294676304
81,BRAF mutant(Yes),cat__BRAF mutant_1,0.02338673733174801,0.02338673733174801
47,Ki67(%),num__Ki67,0.023194244131445885,0.023194244131445885
27,CD3+ count(cells/ul),num__CD3+ count,0.022220997139811516,0.022220997139811516
21,NK cells %,num__NK cells %,0.02207166887819767,0.02207166887819767
3,Total protein(g/L),num__Total protein,0.021837469190359116,0.021837469190359116
25,CD19+ count(cells/ul),num__CD19+ count,0.021794280037283897,0.021794280037283897
32,CA199(U/mL),num__CA199,0.021533098071813583,0.021533098071813583
45,TNLE,num__TNLE,0.021479057148098946,0.021479057148098946
48,NLR,num__NLR,0.019814632833003998,0.019814632833003998
43,Tumor size(cm),num__Tumor size,0.01888962835073471,0.01888962835073471
77,Family history(Yes),cat__Family history_1,0.017715957015752792,0.017715957015752792
74,MSH6(-),cat__MSH6_0,0.01659405790269375,0.01659405790269375
