feature,importance,abs_importance
cat__Carcinoma_nodule_1,0.1527909576271559,0.1527909576271559
num__Iron,0.06632008195151047,0.06632008195151047
num__CD3_count,0.05794772356802966,0.05794772356802966
num__PDW,0.04879752702852451,0.04879752702852451
num__GLDH,0.04497767350179016,0.04497767350179016
num__RBP,0.04191010824914175,0.04191010824914175
num__CD19_count,0.040086723945146785,0.040086723945146785
num__CA50,0.03859598225224647,0.03859598225224647
num__CD29_pos_helper_T_cells,0.03564732462883281,0.03564732462883281
num__CA199,0.03258842552780675,0.03258842552780675
num__Age,0.03032143712769147,0.03032143712769147
num__AFP,0.027282303995471612,0.027282303995471612
num__VitB2,0.023830726934434176,0.023830726934434176
num__CD4_CD25_over_CD4_percent,0.02361973775017253,0.02361973775017253
cat__N_stage_0,0.023057683740427593,0.023057683740427593
num__GGT,0.02268693668775678,0.02268693668775678
num__CEA,0.02216566981059735,0.02216566981059735
num__MCV,0.021118839419316516,0.021118839419316516
cat__T_stage_4,0.020479499255403533,0.020479499255403533
num__NSE,0.02038861097798798,0.02038861097798798
num__CA242,0.019151138716356108,0.019151138716356108
num__Hemoglobin,0.016892286457503843,0.016892286457503843
num__Early_activated_T_cells,0.015604631546660532,0.015604631546660532
num__CD3_HLA_DR_pos,0.015544755451587747,0.015544755451587747
num__Tumor_volume,0.015281116399128823,0.015281116399128823
num__Eosinophil_percent,0.01482286278355736,0.01482286278355736
num__IL6,0.014475978812867918,0.014475978812867918
num__MPV,0.013949594867469264,0.013949594867469264
num__Urea,0.013618587531631008,0.013618587531631008
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.013132209405501333,0.013132209405501333
num__CD8_T_cells,0.011995584655790743,0.011995584655790743
num__CD4_CD45RA_naive_percent_of_helper_T,0.011969510351104261,0.011969510351104261
num__CD4_count,0.011444191203051268,0.011444191203051268
num__IL17,0.010025702960485576,0.010025702960485576
num__Total_bilirubin,0.007477874877859454,0.007477874877859454
