feature,importance,abs_importance
num__Neutrophil_percent,0.7841079503779005,0.7841079503779005
num__Neutrophil_absolute,0.5849501108981411,0.5849501108981411
num__ALT,0.5779023102020565,0.5779023102020565
num__CD3_count,0.5671762367968787,0.5671762367968787
cat__PMS2_1,0.5408009470772535,0.5408009470772535
num__Direct_bilirubin,0.5157149052325684,0.5157149052325684
cat__MSI_0,0.5132846889180618,0.5132846889180618
num__CD4_CD45RO_memory_percent_of_helper_T,0.5081538071585616,0.5081538071585616
num__IL6,0.4626640106119655,0.4626640106119655
num__IL8,0.46078061131440246,0.46078061131440246
num__CD4_CD45RA_naive_percent_of_helper_T,0.4449337763441774,0.4449337763441774
cat__N_stage_2,0.43501542456352976,0.43501542456352976
num__AST,0.4325639210070048,0.4325639210070048
num__Indirect_bilirubin,0.428989281702936,0.428989281702936
cat__T_stage_1,0.4102370915599944,0.4102370915599944
num__CD4_CD25_over_CD4_percent,0.40695287944072717,0.40695287944072717
cat__T_stage_2,0.3869226778180774,0.3869226778180774
cat__Vascular_invasion_1,0.37567965680191323,0.37567965680191323
num__NK_cells,0.36835182283910206,0.36835182283910206
num__GGT,0.3665414209459276,0.3665414209459276
cat__T_stage_4,0.3648308613074916,0.3648308613074916
cat__Sex_Male,0.36101974151633814,0.36101974151633814
num__Total_bile_acids,0.35534161445351337,0.35534161445351337
num__Triglycerides,0.3525189673619263,0.3525189673619263
num__Iron,0.3369341252833129,0.3369341252833129
num__CRP,0.3257340643080016,0.3257340643080016
num__Total_B_lymphocytes,0.3223270180071271,0.3223270180071271
num__CD8_CD28_pos,0.31778752351889417,0.31778752351889417
num__CA50,0.315544107597351,0.315544107597351
num__Monocyte_percent,0.31481528394409314,0.31481528394409314
cat__Differentiation_grade_1,0.3080169641348452,0.3080169641348452
num__Chloride,0.29222688047502,0.29222688047502
cat__MSH2_0,0.2826674614166823,0.2826674614166823
cat__Carcinoma_nodule_0,0.2749638346063554,0.2749638346063554
num__Creatinine,0.2671407019662801,0.2671407019662801
num__VitA,0.26309411736796995,0.26309411736796995
num__SCCA,0.2628697373151901,0.2628697373151901
num__VitE,0.2626236110827328,0.2626236110827328
num__CA199,0.2598814438261765,0.2598814438261765
cat__Carcinoma_nodule_1,0.25971201313684816,0.25971201313684816
num__CD8_CD45RO_memory_percent_of_cytotoxic_T,0.24984611721381947,0.24984611721381947
cat__Chemotherapy_1,0.24603475071430692,0.24603475071430692
num__Lymphocyte_absolute,0.2440478477828145,0.2440478477828145
num__CA153,0.23691176406934275,0.23691176406934275
cat__N_stage_0,0.2357678249364627,0.2357678249364627
cat__Chemotherapy_0,0.2280830886836078,0.2280830886836078
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.22121790412592102,0.22121790412592102
num__AFP,0.21129537245157176,0.21129537245157176
num__Platelet_count,0.20986030779692558,0.20986030779692558
num__Total_bilirubin,0.2037867185466189,0.2037867185466189
num__VitC,0.16569459353534566,0.16569459353534566
num__Plateletcrit,0.00038218780612952466,0.00038218780612952466
