feature,importance,abs_importance
num__NK_count,0.004623878536921899,0.004623878536921899
num__Hemoglobin,0.003441549727781534,0.003441549727781534
num__Regulatory_T_cells,0.0032968138946399494,0.0032968138946399494
num__NSE,0.0031650180200904266,0.0031650180200904266
num__VitB1,0.003049516908212446,0.003049516908212446
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.0029618127444213547,0.0029618127444213547
num__GLDH,0.002869795261099517,0.002869795261099517
num__Total_bile_acids,0.002480637987884349,0.002480637987884349
num__CA242,0.002384786442757392,0.002384786442757392
num__Potassium,0.0022831838049228613,0.0022831838049228613
num__ALP,0.0020378038493979677,0.0020378038493979677
num__Chloride,0.001924219768422597,0.001924219768422597
num__ALT,0.0018365156046314945,0.0018365156046314945
num__Early_activated_T_cells,0.0017871520588911172,0.0017871520588911172
num__Hematocrit,-0.0016917797714900095,0.0016917797714900095
num__Albumin,0.00164672954528019,0.00164672954528019
num__IL8,0.0016409784525725723,0.0016409784525725723
num__RBP,0.0016069511540525272,0.0016069511540525272
num__Urea,0.0015959282263629305,0.0015959282263629305
num__CA724,0.0015072655471205175,0.0015072655471205175
num__Total_protein,0.0014991181657847408,0.0014991181657847408
num__MCH,0.0014732382486004614,0.0014732382486004614
num__mAST,0.001286327735602999,0.001286327735602999
num__MCV,0.0011741814278045993,0.0011741814278045993
num__AFP,-0.001160762211486943,0.001160762211486943
num__WBC,0.0011583659228586285,0.0011583659228586285
num__CD8_T_cells,0.0011300897170461676,0.0011300897170461676
num__CEA,0.0010457403573344904,0.0010457403573344904
num__LDH,0.0010198604401501997,0.0010198604401501997
num__CD4_CD25_over_CD4_percent,0.0009623495130740234,0.0009623495130740234
num__Uric_acid,0.0009412621731461513,0.0009412621731461513
num__CA50,0.000938865884517992,0.000938865884517992
num__AST,0.0009172992868644481,0.0009172992868644481
num__CYFRA21_1,0.0009019630396441159,0.0009019630396441159
num__RBC,0.0008612261329651761,0.0008612261329651761
num__Triglycerides,0.0008597883597882383,0.0008597883597882383
num__Lymphocyte_percent,0.0008343877003296641,0.0008343877003296641
num__VitC,0.0008310328962502167,0.0008310328962502167
num__Direct_bilirubin,0.0007840656391380318,0.0007840656391380318
num__Sodium,0.0007831071236867437,0.0007831071236867437
num__CD29_pos_helper_T_cells,0.0007821486082355,0.0007821486082355
num__Neutrophil_percent,0.0006704815581626611,0.0006704815581626611
num__VitB6,0.0005880492293534933,0.0005880492293534933
num__CD8_CD25_over_CD8_percent,0.0005722337244075893,0.0005722337244075893
num__CD8_CD45RO_memory_percent_of_cytotoxic_T,0.0005588145080898221,0.0005588145080898221
num__Creatinine,0.0005492293535771297,0.0005492293535771297
num__VitB2,0.0005492293535771187,0.0005492293535771187
num__IFN_gamma,0.0005295797868260732,0.0005295797868260732
num__CD4_count,-0.0005257457250211983,0.0005257457250211983
num__CD3_HLA_DR_pos,0.0005065754159955804,0.0005065754159955804
num__A_G_ratio,0.0004945939728547843,0.0004945939728547843
num__CD8_CD28_pos,0.0004505022620964194,0.0004505022620964194
num__VitE,0.0004016179740817027,0.0004016179740817027
num__IL5,-0.0003714247373668322,0.0003714247373668322
num__CA199,0.00034506556245680333,0.00034506556245680333
num__Eosinophil_percent,0.00028372057357560764,0.00028372057357560764
num__IL1_beta,0.0002784487385936063,0.0002784487385936063
num__IL17,-0.00027173913043486707,0.00027173913043486707
num__CA153,0.00026071620274509266,0.00026071620274509266
num__VitA,0.00024490069779918854,0.00024490069779918854
num__IL6,-0.00022573038877395923,0.00022573038877395923
num__Total_bilirubin,0.00022429261559688828,0.00022429261559688828
num__Total_cholesterol,-0.0002223755846945008,0.0002223755846945008
num__CD4_CD45RA_naive_percent_of_helper_T,0.000196016409784483,0.000196016409784483
num__CD3_count,0.00018020090483852335,0.00018020090483852335
num__Prealbumin,0.0001600720803618505,0.0001600720803618505
num__Total_T_lymphocytes,0.00015719653400805277,0.00015719653400805277
num__CD19_count,0.00015527950310553206,0.00015527950310553206
num__CA125,0.00013131661682379557,0.00013131661682379557
num__Indirect_bilirubin,-0.00012125220458563124,0.00012125220458563124
num__CD4_CD45RO_memory_percent_of_helper_T,-8.195307108356253e-05,8.195307108356253e-05
num__SCCA,7.907752472960939e-05,7.907752472960939e-05
num__CD8_count,6.613756613751409e-05,6.613756613751409e-05
num__Total_B_lymphocytes,-6.230350433257259e-05,6.230350433257259e-05
num__NK_cells,5.5593896173511405e-05,5.5593896173511405e-05
num__Glucose,-5.3676865271101716e-05,5.3676865271101716e-05
num__Monocyte_percent,-5.12805766429314e-05,5.12805766429314e-05
num__Globulin,2.3962886281703177e-05,2.3962886281703177e-05
num__GGT,1.43777317689886e-05,1.43777317689886e-05
num__CD4_T_cells,7.668123610093947e-06,7.668123610093947e-06
cat__MSI_1,0.0,0.0
cat__MSI_0,0.0,0.0
cat__NRAS_mutant_1,0.0,0.0
cat__NRAS_mutant_0,0.0,0.0
cat__KRAS_mutant_1,0.0,0.0
