feature,importance,abs_importance
cat__N_stage_0,0.019726247987117595,0.019726247987117595
num__Plateletcrit,0.012387853692201568,0.012387853692201568
num__Basophil_percent,0.011556820795951305,0.011556820795951305
num__Total_B_lymphocytes,0.01018614370063652,0.01018614370063652
cat__MLH1_1,0.006474771873322649,0.006474771873322649
cat__Family_history_0,0.005978260869565266,0.005978260869565266
cat__PMS2_1,0.005859404953607905,0.005859404953607905
num__GGT,0.0056236101525957375,0.0056236101525957375
cat__MSH2_0,0.0056216931216932055,0.0056216931216932055
num__MPV,0.00557855992638614,0.00557855992638614
num__IL1_beta,0.005006326201978428,0.005006326201978428
cat__MSH6_1,0.004974695192086575,0.004974695192086575
num__NK_cells,0.0048107890499195505,0.0048107890499195505
cat__PMS2_0,0.0045548654244307206,0.0045548654244307206
cat__Coronary_artery_disease_1,0.004552948393528167,0.004552948393528167
num__Tumor_size,0.004416839199447941,0.004416839199447941
num__VitB6,0.004264435242696152,0.004264435242696152
num__CD19_count,0.004227053140096693,0.004227053140096693
num__CYFRA21_1,0.004200214707461114,0.004200214707461114
cat__N_stage_2,0.004125450502262151,0.004125450502262151
cat__MLH1_0,0.003931830381105783,0.003931830381105783
cat__Differentiation_grade_2,0.0037650486925849824,0.0037650486925849824
num__CA125,0.0037065792500575734,0.0037065792500575734
num__Creatinine,0.0036231884057971618,0.0036231884057971618
num__CD8_CD28_pos,0.0034362778927996994,0.0034362778927996994
cat__Sex_Male,0.0033615136876006813,0.0033615136876006813
num__PDW,0.0032992101832681866,0.0032992101832681866
num__CD4_CD25_over_CD4_percent,0.003118050762978364,0.003118050762978364
cat__Colonic_obstruction_0,0.003111341154819469,0.003111341154819469
num__Basophil_absolute,0.0030768345985737857,0.0030768345985737857
cat__Differentiation_grade_4,0.002802699179510826,0.002802699179510826
num__CD8_T_cells,0.0027979066022544965,0.0027979066022544965
num__CD3_HLA_DR_pos,0.0026004524192930756,0.0026004524192930756
num__CD4_CD45RO_memory_percent_of_helper_T,0.0024700943179204573,0.0024700943179204573
num__LDH,0.0024681772870179365,0.0024681772870179365
num__NK_count,0.002457633617053934,0.002457633617053934
num__Potassium,0.0024528410397976043,0.0024528410397976043
num__IL5,0.0024327122153209755,0.0024327122153209755
num__IFN_gamma,0.0023991641745265578,0.0023991641745265578
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.002335902154742797,0.002335902154742797
cat__MSH6_0,0.0023176903611686673,0.0023176903611686673
cat__T_stage_3,0.0022534698259336515,0.0022534698259336515
cat__Hypertension_0,0.0022400506096158733,0.0022400506096158733
cat__MSH2_1,0.002236216547810821,0.002236216547810821
num__Monocyte_absolute,0.0022055440533701788,0.0022055440533701788
num__CD4_count,0.002191166321601168,0.002191166321601168
num__Albumin,0.0021585767962579716,0.0021585767962579716
num__Indirect_bilirubin,0.0021164021164021608,0.0021164021164021608
cat__Differentiation_grade_5,0.002088605168315416,0.002088605168315416
cat__Chemotherapy_1,0.0020464304884595386,0.0020464304884595386
num__VitB1,0.002035886818495547,0.002035886818495547
num__Monocyte_percent,0.0020263016639828655,0.0020263016639828655
num__Uric_acid,0.0020167165094701735,0.0020167165094701735
num__MCH,0.0019716662832605313,0.0019716662832605313
cat__MSI_1,0.001962081128747828,0.001962081128747828
cat__Hypertension_1,0.0019400352733686898,0.0019400352733686898
num__NSE,0.00193715972701487,0.00193715972701487
num__Globulin,0.0019179894179894962,0.0019179894179894962
num__Early_activated_T_cells,0.0019093627789280808,0.0019093627789280808
cat__Carcinoma_nodule_0,0.0019045702016716626,0.0019045702016716626
cat__Chemotherapy_0,0.001901694655317887,0.001901694655317887
num__CD8_count,0.001871022160877278,0.001871022160877278
num__VitE,0.0018010505329346227,0.0018010505329346227
num__Eosinophil_percent,0.0017751706157503656,0.0017751706157503656
cat__CDX2_0,0.0017675024921401828,0.0017675024921401828
cat__Family_history_1,0.0017579173376275348,0.0017579173376275348
num__Urea,0.001742581090407236,0.001742581090407236
num__CA199,0.0017310789049920228,0.0017310789049920228
num__CA724,0.0017234107813818734,0.0017234107813818734
num__Ki67,0.001709991565064095,0.001709991565064095
num__CD8_CD25_over_CD8_percent,0.0016658998543056859,0.0016658998543056859
num__VitA,0.001662065792500611,0.001662065792500611
cat__Sex_Female,0.0016323518135112792,0.0016323518135112792
num__mAST,0.001617974081742235,0.001617974081742235
num__AFP,0.0016074304117782545,0.0016074304117782545
cat__Coronary_artery_disease_0,0.0015863430718503935,0.0015863430718503935
num__Sodium,0.0015633387010198895,0.0015633387010198895
num__WBC,0.0015432098765432612,0.0015432098765432612
cat__Carcinoma_nodule_1,0.0015326662065792917,0.0015326662065792917
num__CD4_CD45RA_naive_percent_of_helper_T,0.0015278736293229955,0.0015278736293229955
cat__Colonic_obstruction_1,0.0015230810520666215,0.0015230810520666215
num__Direct_bilirubin,0.0015067862893950457,0.0015067862893950457
num__Platelet_count,0.0014981596503336081,0.0014981596503336081
num__CD3_count,0.0014856989494671513,0.0014856989494671513
num__Total_cholesterol,0.0014789893413082456,0.0014789893413082456
num__Tumor_volume,0.0014780308258569574,0.0014780308258569574
cat__KRAS_mutant_1,0.0014722797331493509,0.0014722797331493509
num__IL8,0.0014224369296833683,0.0014224369296833683
num__CA153,0.0013793037343762804,0.0013793037343762804
num__Prealbumin,0.001326585384556478,0.001326585384556478
num__AST,0.0013122076527874338,0.0013122076527874338
num__ALT,0.0012930373437620268,0.0012930373437620268
num__Total_T_lymphocytes,0.0012671574265777697,0.0012671574265777697
num__Age,0.001259489302967598,0.001259489302967598
num__IL17,0.0012355264166859059,0.0012355264166859059
num__ALP,0.001213480561306679,0.001213480561306679
num__Total_protein,0.0012096464995016375,0.0012096464995016375
cat__NRAS_mutant_1,0.001188559159573699,0.001188559159573699
num__CD29_pos_helper_T_cells,0.0011780154896097628,0.0011780154896097628
num__Chloride,0.0010620351200061884,0.0010620351200061884
num__RBP,0.001053408480944784,0.001053408480944784
cat__NRAS_mutant_0,0.0010505329345909752,0.0010505329345909752
cat__CDX2_1,0.0010332796564681223,0.0010332796564681223
num__IL6,0.001018901924699045,0.001018901924699045
