feature,importance,abs_importance
cat__Carcinoma_nodule_1,0.04085210814246808,0.04085210814246808
cat__Carcinoma_nodule_0,0.034150245430597616,0.034150245430597616
num__CD19_count,0.0326141677867632,0.0326141677867632
num__Iron,0.03240130282087801,0.03240130282087801
num__CEA,0.026766163398775678,0.026766163398775678
num__CD3_count,0.024881040744868955,0.024881040744868955
num__Total_B_lymphocytes,0.024169853879843304,0.024169853879843304
cat__N_stage_0,0.023324280097262055,0.023324280097262055
num__CA50,0.02260111769661069,0.02260111769661069
cat__Vascular_invasion_1,0.022130705227750392,0.022130705227750392
num__CD4_CD25_over_CD4_percent,0.021743740285115117,0.021743740285115117
num__Regulatory_T_cells,0.021478292391030742,0.021478292391030742
num__CD8_count,0.020344366064510875,0.020344366064510875
num__VitE,0.019935072540301524,0.019935072540301524
num__CD8_CD28_pos,0.019778363456161838,0.019778363456161838
cat__Vascular_invasion_0,0.019619396823474848,0.019619396823474848
num__CD8_CD45RO_memory_percent_of_cytotoxic_T,0.01945582648370015,0.01945582648370015
num__NK_count,0.019313637690571213,0.019313637690571213
num__LDH,0.018683438959935055,0.018683438959935055
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.018642019938505963,0.018642019938505963
num__CD4_count,0.018615604378417912,0.018615604378417912
num__VitB1,0.018515668322740462,0.018515668322740462
num__VitB2,0.018300283216147295,0.018300283216147295
num__Lymphocyte_absolute,0.018015226216964542,0.018015226216964542
num__Chloride,0.01791282688099499,0.01791282688099499
num__CYFRA21_1,0.01770572686040385,0.01770572686040385
cat__N_stage_2,0.017486427166721455,0.017486427166721455
num__CD4_T_cells,0.017254810054187497,0.017254810054187497
num__VitC,0.017009740963965302,0.017009740963965302
num__CD8_T_cells,0.01692827759561719,0.01692827759561719
num__PDW,0.016795948570663036,0.016795948570663036
num__RBP,0.01672216154390737,0.01672216154390737
num__Tumor_volume,0.016533537234052615,0.016533537234052615
num__VitB6,0.016499241949872057,0.016499241949872057
num__VitA,0.016241897034158428,0.016241897034158428
num__IL6,0.016209589130527852,0.016209589130527852
num__GGT,0.01616425905567573,0.01616425905567573
num__NSE,0.016067239937937156,0.016067239937937156
num__CA153,0.01602785551442009,0.01602785551442009
num__Sodium,0.01585287575533716,0.01585287575533716
num__RDW_CV,0.015712121775899483,0.015712121775899483
num__CA125,0.015430059174423402,0.015430059174423402
num__CD3_HLA_DR_pos,0.014929815450678634,0.014929815450678634
num__CRP,0.014920385009329467,0.014920385009329467
num__AFP,0.01486062370870507,0.01486062370870507
num__RBC,0.014804152194134619,0.014804152194134619
num__GLDH,0.014801873619975954,0.014801873619975954
num__BMI,0.014532162744761521,0.014532162744761521
num__Neutrophil_percent,0.014278518448574504,0.014278518448574504
num__CA199,0.014227042031031647,0.014227042031031647
num__CA242,0.01390587877275786,0.01390587877275786
num__Total_bile_acids,0.013853029827890474,0.013853029827890474
