feature,importance,abs_importance
cat__Carcinoma_nodule_1,0.05983279414976543,0.05983279414976543
cat__Carcinoma_nodule_0,0.05505807089580373,0.05505807089580373
num__Iron,0.05162046792978588,0.05162046792978588
num__CD19_count,0.04998571301369289,0.04998571301369289
num__CEA,0.047703026519339775,0.047703026519339775
cat__N_stage_0,0.04534831546231012,0.04534831546231012
num__CD4_CD25_over_CD4_percent,0.03318097006860717,0.03318097006860717
cat__Vascular_invasion_1,0.026402152157551786,0.026402152157551786
num__CD8_CD45RO_memory_percent_of_cytotoxic_T,0.020455968447164245,0.020455968447164245
num__AFP,0.020388336751853104,0.020388336751853104
num__VitE,0.018775260719477917,0.018775260719477917
num__CD3_count,0.018462289281204244,0.018462289281204244
num__CA50,0.018431425215222598,0.018431425215222598
num__Regulatory_T_cells,0.018330517957914468,0.018330517957914468
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.01677896613995117,0.01677896613995117
num__CD8_CD28_pos,0.01644638238276793,0.01644638238276793
num__PDW,0.015418262392026105,0.015418262392026105
num__CD8_count,0.015314294562604427,0.015314294562604427
cat__N_stage_2,0.015035775054435558,0.015035775054435558
cat__T_stage_4,0.014613431177343678,0.014613431177343678
num__CRP,0.013410917629502575,0.013410917629502575
num__Total_bile_acids,0.012479930925745251,0.012479930925745251
cat__Perineural_invasion_1,0.011654767045997041,0.011654767045997041
num__Lymphocyte_absolute,0.011202698302653722,0.011202698302653722
num__GGT,0.01058223723231078,0.01058223723231078
num__VitB1,0.010449300624321672,0.010449300624321672
num__CA125,0.009433472412955748,0.009433472412955748
num__Platelet_count,0.009414552654239796,0.009414552654239796
num__VitB2,0.008949042770978263,0.008949042770978263
num__GLDH,0.008892034190903491,0.008892034190903491
num__Sodium,0.008785342452089827,0.008785342452089827
num__Chloride,0.008359810715863527,0.008359810715863527
num__IL6,0.007959699954089397,0.007959699954089397
num__VitC,0.007862007999991674,0.007862007999991674
num__Eosinophil_absolute,0.007739697820994844,0.007739697820994844
cat__N_stage_1,0.007655569624881486,0.007655569624881486
num__NSE,0.0076290835098025206,0.0076290835098025206
cat__Vascular_invasion_0,0.007364354037445814,0.007364354037445814
num__IL8,0.007256396303027288,0.007256396303027288
num__Tumor_size,0.0072074058478556035,0.0072074058478556035
num__RBP,0.007039784061452462,0.007039784061452462
num__CD4_CD45RO_memory_percent_of_helper_T,0.006990885048480748,0.006990885048480748
num__Ki67,0.00696383616578752,0.00696383616578752
