feature,importance,abs_importance
cat__Carcinoma_nodule_0,0.06045958399772644,0.06045958399772644
cat__Vascular_invasion_1,0.03404277190566063,0.03404277190566063
cat__N_stage_0,0.02450537122786045,0.02450537122786045
num__CD19_count,0.023850195109844208,0.023850195109844208
cat__Vascular_invasion_0,0.02119758538901806,0.02119758538901806
cat__N_stage_2,0.01925167813897133,0.01925167813897133
num__CA50,0.018471425399184227,0.018471425399184227
cat__T_stage_4,0.01466226577758789,0.01466226577758789
num__CD4_CD25_over_CD4_percent,0.01457133051007986,0.01457133051007986
num__CEA,0.014531198889017105,0.014531198889017105
num__CD4_count,0.014169705100357533,0.014169705100357533
cat__Perineural_invasion_0,0.01406867802143097,0.01406867802143097
cat__KRAS_mutant_0,0.013773713260889053,0.013773713260889053
num__Iron,0.012921418994665146,0.012921418994665146
num__Sodium,0.011310298927128315,0.011310298927128315
num__VitC,0.011117407120764256,0.011117407120764256
num__CD8_count,0.010872354730963707,0.010872354730963707
num__NSE,0.01082135085016489,0.01082135085016489
num__Chloride,0.010762052610516548,0.010762052610516548
num__Tumor_size,0.01064747478812933,0.01064747478812933
num__Lymphocyte_absolute,0.010380981490015984,0.010380981490015984
num__CD3_count,0.010243747383356094,0.010243747383356094
num__VitB2,0.010228057391941547,0.010228057391941547
num__IL8,0.009754053317010403,0.009754053317010403
num__CD8_CD28_pos,0.009690559469163418,0.009690559469163418
cat__T_stage_2,0.009649834595620632,0.009649834595620632
num__CRP,0.009405197575688362,0.009405197575688362
num__CD8_CD45RA_naive_percent_of_cytotoxic_T,0.009328121319413185,0.009328121319413185
num__MPV,0.009315010160207748,0.009315010160207748
num__CYFRA21_1,0.009301304817199707,0.009301304817199707
num__Early_activated_T_cells,0.00922637339681387,0.00922637339681387
num__VitE,0.009131441824138165,0.009131441824138165
num__Eosinophil_absolute,0.008894396014511585,0.008894396014511585
num__Direct_bilirubin,0.008871021680533886,0.008871021680533886
cat__KRAS_mutant_1,0.008776137605309486,0.008776137605309486
num__Regulatory_T_cells,0.008720521815121174,0.008720521815121174
num__RDW_CV,0.008665909059345722,0.008665909059345722
num__NK_count,0.008648881688714027,0.008648881688714027
num__CA153,0.008625928312540054,0.008625928312540054
num__CD4_T_cells,0.008565573953092098,0.008565573953092098
num__PDW,0.008552581071853638,0.008552581071853638
num__Albumin,0.008395403623580933,0.008395403623580933
num__CA724,0.00839499942958355,0.00839499942958355
num__Ki67,0.008223568089306355,0.008223568089306355
num__Tumor_volume,0.008156230673193932,0.008156230673193932
num__Total_bile_acids,0.008123748004436493,0.008123748004436493
num__VitB1,0.008017770014703274,0.008017770014703274
num__Urea,0.00796788465231657,0.00796788465231657
num__Creatinine,0.007846513763070107,0.007846513763070107
num__AFP,0.007767887320369482,0.007767887320369482
num__IL6,0.007540025748312473,0.007540025748312473
num__CD8_CD45RO_memory_percent_of_cytotoxic_T,0.007463567424565554,0.007463567424565554
num__IL1_beta,0.007437925320118666,0.007437925320118666
num__VitA,0.007425601594150066,0.007425601594150066
num__RBP,0.00742545910179615,0.00742545910179615
num__BMI,0.007319706026464701,0.007319706026464701
num__CA199,0.007215283811092377,0.007215283811092377
num__Age,0.007199245970696211,0.007199245970696211
num__CA125,0.0071886638179421425,0.0071886638179421425
num__Total_bilirubin,0.007169886026531458,0.007169886026531458
num__Platelet_count,0.00706507358700037,0.00706507358700037
num__VitB6,0.006822064984589815,0.006822064984589815
num__Potassium,0.006815811153501272,0.006815811153501272
cat__Carcinoma_nodule_1,0.006797528825700283,0.006797528825700283
num__CD8_T_cells,0.006762977223843336,0.006762977223843336
num__LDH,0.006720863748341799,0.006720863748341799
num__MCHC,0.006696087308228016,0.006696087308228016
num__GLDH,0.006517970003187656,0.006517970003187656
num__Hemoglobin,0.006506691221147776,0.006506691221147776
num__Basophil_percent,0.006499754264950752,0.006499754264950752
num__Total_cholesterol,0.006493791937828064,0.006493791937828064
num__IL17,0.006472929380834103,0.006472929380834103
num__RBC,0.00636606989428401,0.00636606989428401
num__CD8_CD25_over_CD8_percent,0.006349837873131037,0.006349837873131037
num__CD4_CD45RO_memory_percent_of_helper_T,0.006278641987591982,0.006278641987591982
num__mAST,0.006000621244311333,0.006000621244311333
num__GGT,0.005938422866165638,0.005938422866165638
num__Total_B_lymphocytes,0.005934626795351505,0.005934626795351505
num__NK_cells,0.005767987109720707,0.005767987109720707
num__MCV,0.005699655506759882,0.005699655506759882
num__Neutrophil_percent,0.005642029922455549,0.005642029922455549
num__CD3_HLA_DR_pos,0.005636455491185188,0.005636455491185188
num__Prealbumin,0.005614105146378279,0.005614105146378279
num__Monocyte_percent,0.005585502367466688,0.005585502367466688
num__AST,0.00556389382109046,0.00556389382109046
num__IL5,0.005545842461287975,0.005545842461287975
num__ALP,0.005530890077352524,0.005530890077352524
num__SCCA,0.005509018432348967,0.005509018432348967
num__Globulin,0.005457826424390078,0.005457826424390078
num__Neutrophil_absolute,0.0054457103833556175,0.0054457103833556175
num__CD29_pos_helper_T_cells,0.005434232763946056,0.005434232763946056
num__Indirect_bilirubin,0.0054234908893704414,0.0054234908893704414
cat__T_stage_1,0.005398282781243324,0.005398282781243324
num__MCH,0.005308982450515032,0.005308982450515032
num__Monocyte_absolute,0.005083641968667507,0.005083641968667507
num__IFN_gamma,0.0050656357780098915,0.0050656357780098915
cat__T_stage_3,0.005001851357519627,0.005001851357519627
num__Uric_acid,0.004992253612726927,0.004992253612726927
num__CA242,0.004942514002323151,0.004942514002323151
num__Lymphocyte_percent,0.004919621627777815,0.004919621627777815
num__Total_T_lymphocytes,0.00466079730540514,0.00466079730540514
num__WBC,0.004635142628103495,0.004635142628103495
num__Plateletcrit,0.004594414960592985,0.004594414960592985
num__Eosinophil_percent,0.004575740545988083,0.004575740545988083
num__Triglycerides,0.00438702991232276,0.00438702991232276
num__CD4_CD45RA_naive_percent_of_helper_T,0.004176557995378971,0.004176557995378971
num__ALT,0.003830542555078864,0.003830542555078864
num__A_G_ratio,0.0038039805367588997,0.0038039805367588997
cat__Sex_Female,0.0037439223378896713,0.0037439223378896713
num__Basophil_absolute,0.0036218829918652773,0.0036218829918652773
num__Glucose,0.003595764981582761,0.003595764981582761
cat__Differentiation_grade_4,0.0035844147205352783,0.0035844147205352783
num__Hematocrit,0.003461716463789344,0.003461716463789344
num__Total_protein,0.00345623679459095,0.00345623679459095
cat__Chemotherapy_0,0.001999861793592572,0.001999861793592572
cat__Perineural_invasion_1,0.0,0.0
cat__Sex_Male,0.0,0.0
cat__Differentiation_grade_3,0.0,0.0
cat__MLH1_0,0.0,0.0
