model,k,accuracy,kappa
DT,1,0.566066066066066,0.06869398591613969
DT,2,0.5735735735735736,0.10404085069932316
DT,19,0.6471471471471472,0.2500738748825349
DT,35,0.6771771771771772,0.31454416002840385
DT,52,0.6501501501501501,0.25552452162571804
DT,69,0.6426426426426426,0.2415152348519438
DT,85,0.6351351351351352,0.2287767501245075
DT,102,0.6501501501501501,0.2669217147636196
DT,119,0.6471471471471472,0.2567230524068795
DT,135,0.6261261261261262,0.2154882553397149
DT,152,0.6426426426426427,0.24201976319499405
