model,k,accuracy,kappa
KNN,1,0.5495495495495496,0.005698048545604739
KNN,2,0.6066066066066066,0.12143071343629737
KNN,19,0.6576576576576577,0.20159000567859173
KNN,35,0.6396396396396397,0.14043559869082775
KNN,52,0.6411411411411412,0.12990039501760045
KNN,69,0.6501501501501501,0.1529338441148503
KNN,85,0.6426426426426427,0.1067341036621607
KNN,102,0.6336336336336337,0.10432245488260113
KNN,119,0.6621621621621622,0.17924619509063008
KNN,135,0.6906906906906908,0.2547524400846953
KNN,152,0.6771771771771772,0.21422917225883342
