model,k,accuracy,kappa
LR,1,0.7252252252252251,0.36598656758249654
LR,2,0.7252252252252251,0.36598656758249654
LR,19,0.7597597597597598,0.47188823605552416
LR,35,0.7657657657657658,0.48855895698787516
LR,52,0.7927927927927927,0.5487082950612953
LR,69,0.7687687687687688,0.4983443398050201
LR,85,0.7582582582582583,0.4779649411800457
LR,102,0.7492492492492492,0.45937177619217523
LR,119,0.7462462462462462,0.4560473771356799
LR,135,0.7327327327327328,0.4277537299870118
LR,152,0.7282282282282283,0.4182660393965829
