model,k,accuracy,kappa
NNET,1,0.6216216216216216,0.0
NNET,2,0.6381381381381381,0.12888058243196673
NNET,19,0.6741741741741741,0.2648401188316249
NNET,35,0.6651651651651651,0.2770483239634603
NNET,52,0.6816816816816816,0.26803125122359833
NNET,69,0.6846846846846848,0.33226891538762515
NNET,85,0.6876876876876876,0.3034927286748464
NNET,102,0.6771771771771772,0.2794950028733086
NNET,119,0.7252252252252253,0.4204782981516126
NNET,135,0.7297297297297297,0.395978968033406
NNET,152,0.7492492492492492,0.4522190559610741
