model,k,accuracy,kappa
RF,1,0.566066066066066,0.0802692082624384
RF,2,0.6426426426426427,0.20173092894041925
RF,19,0.7582582582582583,0.4715878806692655
RF,35,0.7582582582582583,0.4647977842938753
RF,52,0.7762762762762763,0.5021243065210771
RF,69,0.7657657657657658,0.4775192641246553
RF,85,0.7567567567567567,0.4584942666735669
RF,102,0.7552552552552553,0.45170817703317184
RF,119,0.7612612612612613,0.462437764447994
RF,135,0.7657657657657658,0.47527442889229793
RF,152,0.7567567567567567,0.45230263157894735
