model,k,accuracy,kappa
SGBT,1,0.6351351351351352,0.17727981192665068
SGBT,2,0.6396396396396397,0.19308803919016612
SGBT,19,0.7192192192192192,0.37315470671470613
SGBT,35,0.7327327327327327,0.3990973334783592
SGBT,52,0.6966966966966966,0.3183768701243537
SGBT,69,0.6996996996996997,0.31997699306974375
SGBT,85,0.6801801801801801,0.2757772540870828
SGBT,102,0.6891891891891891,0.29798623975539756
SGBT,119,0.7312312312312312,0.40683632095257166
SGBT,135,0.7342342342342342,0.41272936836282487
SGBT,152,0.7612612612612611,0.47495797483462093
