model,k,accuracy,kappa
SVM,1,0.7252252252252251,0.36598656758249654
SVM,2,0.7252252252252251,0.36598656758249654
SVM,19,0.7657657657657658,0.47258326163903724
SVM,35,0.7912912912912913,0.5396784151398331
SVM,52,0.8003003003003003,0.5659172970081229
SVM,69,0.7672672672672673,0.49633709414414073
SVM,85,0.7672672672672673,0.49562544412195164
SVM,102,0.7597597597597598,0.4828322037654573
SVM,119,0.7522522522522522,0.46702244124521525
SVM,135,0.7147147147147148,0.3869522991338248
SVM,152,0.7087087087087087,0.3797804519138073
