model,k,accuracy,kappa
XGB,1,0.7252252252252251,0.36598656758249654
XGB,2,0.7252252252252251,0.36598656758249654
XGB,19,0.7657657657657658,0.48997275189633055
XGB,35,0.7717717717717717,0.5031417026074005
XGB,52,0.7687687687687688,0.4942192518141882
XGB,69,0.7687687687687688,0.49421347500016727
XGB,85,0.7717717717717717,0.5002459294317886
XGB,102,0.7582582582582583,0.4689932858180223
XGB,119,0.7717717717717719,0.4980733040701697
XGB,135,0.7582582582582583,0.4662096399619924
XGB,152,0.7642642642642642,0.4841195939960605
