model,k,accuracy,kappa
LR,1,0.7252252252252251,0.36598656758249654
LR,2,0.7252252252252251,0.36598656758249654
LR,19,0.7597597597597598,0.47188823605552416
LR,35,0.7657657657657658,0.48855895698787516
LR,52,0.7927927927927927,0.5487082950612953
LR,69,0.7687687687687688,0.4983443398050201
LR,85,0.7582582582582583,0.4779649411800457
LR,102,0.7492492492492492,0.45937177619217523
LR,119,0.7462462462462462,0.4560473771356799
LR,135,0.7327327327327328,0.4277537299870118
LR,152,0.7282282282282283,0.4182660393965829
DT,1,0.566066066066066,0.06869398591613969
DT,2,0.5735735735735736,0.10404085069932316
DT,19,0.6471471471471472,0.2500738748825349
DT,35,0.6771771771771772,0.31454416002840385
DT,52,0.6501501501501501,0.25552452162571804
DT,69,0.6426426426426426,0.2415152348519438
DT,85,0.6351351351351352,0.2287767501245075
DT,102,0.6501501501501501,0.2669217147636196
DT,119,0.6471471471471472,0.2567230524068795
DT,135,0.6261261261261262,0.2154882553397149
DT,152,0.6426426426426427,0.24201976319499405
RF,1,0.566066066066066,0.0802692082624384
RF,2,0.6426426426426427,0.20173092894041925
RF,19,0.7582582582582583,0.4715878806692655
RF,35,0.7582582582582583,0.4647977842938753
RF,52,0.7762762762762763,0.5021243065210771
RF,69,0.7657657657657658,0.4775192641246553
RF,85,0.7567567567567567,0.4584942666735669
RF,102,0.7552552552552553,0.45170817703317184
RF,119,0.7612612612612613,0.462437764447994
RF,135,0.7657657657657658,0.47527442889229793
RF,152,0.7567567567567567,0.45230263157894735
KNN,1,0.5495495495495496,0.005698048545604739
KNN,2,0.6066066066066066,0.12143071343629737
KNN,19,0.6576576576576577,0.20159000567859173
KNN,35,0.6396396396396397,0.14043559869082775
KNN,52,0.6411411411411412,0.12990039501760045
KNN,69,0.6501501501501501,0.1529338441148503
KNN,85,0.6426426426426427,0.1067341036621607
KNN,102,0.6336336336336337,0.10432245488260113
KNN,119,0.6621621621621622,0.17924619509063008
KNN,135,0.6906906906906908,0.2547524400846953
KNN,152,0.6771771771771772,0.21422917225883342
SVM,1,0.7252252252252251,0.36598656758249654
SVM,2,0.7252252252252251,0.36598656758249654
SVM,19,0.7657657657657658,0.47258326163903724
SVM,35,0.7912912912912913,0.5396784151398331
SVM,52,0.8003003003003003,0.5659172970081229
SVM,69,0.7672672672672673,0.49633709414414073
SVM,85,0.7672672672672673,0.49562544412195164
SVM,102,0.7597597597597598,0.4828322037654573
SVM,119,0.7522522522522522,0.46702244124521525
SVM,135,0.7147147147147148,0.3869522991338248
SVM,152,0.7087087087087087,0.3797804519138073
NB,1,0.6216216216216216,0.0
NB,2,0.6216216216216216,0.040778709022438075
NB,19,0.6726726726726726,0.2592758934169959
NB,35,0.7027027027027026,0.3587548018049755
NB,52,0.7162162162162162,0.3952187574968229
NB,69,0.7222222222222223,0.4019011428116113
NB,85,0.7372372372372372,0.4348544084095994
NB,102,0.638138138138138,0.3041734544913851
NB,119,0.6621621621621622,0.3308639841529875
NB,135,0.6651651651651652,0.3384341360439745
NB,152,0.6651651651651652,0.3361232016533844
XGB,1,0.7252252252252251,0.36598656758249654
XGB,2,0.7252252252252251,0.36598656758249654
XGB,19,0.7657657657657658,0.48997275189633055
XGB,35,0.7717717717717717,0.5031417026074005
XGB,52,0.7687687687687688,0.4942192518141882
XGB,69,0.7687687687687688,0.49421347500016727
XGB,85,0.7717717717717717,0.5002459294317886
XGB,102,0.7582582582582583,0.4689932858180223
XGB,119,0.7717717717717719,0.4980733040701697
XGB,135,0.7582582582582583,0.4662096399619924
XGB,152,0.7642642642642642,0.4841195939960605
SGBT,1,0.6351351351351352,0.17727981192665068
SGBT,2,0.6396396396396397,0.19308803919016612
SGBT,19,0.7192192192192192,0.37315470671470613
SGBT,35,0.7327327327327327,0.3990973334783592
SGBT,52,0.6966966966966966,0.3183768701243537
SGBT,69,0.6996996996996997,0.31997699306974375
SGBT,85,0.6801801801801801,0.2757772540870828
SGBT,102,0.6891891891891891,0.29798623975539756
SGBT,119,0.7312312312312312,0.40683632095257166
SGBT,135,0.7342342342342342,0.41272936836282487
SGBT,152,0.7612612612612611,0.47495797483462093
NNET,1,0.6216216216216216,0.0
NNET,2,0.6381381381381381,0.12888058243196673
NNET,19,0.6741741741741741,0.2648401188316249
NNET,35,0.6651651651651651,0.2770483239634603
NNET,52,0.6816816816816816,0.26803125122359833
NNET,69,0.6846846846846848,0.33226891538762515
NNET,85,0.6876876876876876,0.3034927286748464
NNET,102,0.6771771771771772,0.2794950028733086
NNET,119,0.7252252252252253,0.4204782981516126
NNET,135,0.7297297297297297,0.395978968033406
NNET,152,0.7492492492492492,0.4522190559610741
